trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.008374698876860195,0.033339677857504475,0.0010954777040074759,0.0038631264919963826
2,0.007172032694151668,0.03507760797793051,0.0024203218860281983,0.009410305052799828
3,0.007379009162931869,0.023191245381203405,0.0013509028897286581,0.006028011133356159
4,0.008725685498871948,0.03584918002701122,0.001458987229444785,0.007773879215054791
5,0.023363289767143566,0.09373961638809403,0.001473617592727253,0.007082696988480741
6,0.034486219283627786,0.1694118862455514,0.001904508629931147,0.010021241389716273
7,0.006656041415081951,0.03264010877401019,0.0016896173179978297,0.008018615973881538
8,0.023711485486901683,0.0740880262377079,0.0009781782185953602,0.0027583203524343958
9,0.028880430903138167,0.07758542267201816,0.0010686232895764191,0.004740874792510397
10,0.0234248746063208,0.11942116673372127,0.0010842184524513803,0.003929439859390094
