trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.010567167454268991,0.04048669201477132,0.0009635768731419197,0.005106332546832348
2,0.006183442408930908,0.020676726623654124,0.001040139997147256,0.003595462469078825
3,0.5131271336573032,3.31863306362825,0.001779820073513346,0.03276209285332459
4,0.010017742963205071,0.032788445611368414,0.001236430509788046,0.004092023952503965
5,0.2834565899702644,2.5543408012379043,0.0028327147488097183,0.027004582722787107
6,0.018228697696154452,0.0688655412391181,0.0015133549197622446,0.006966532333555264
7,0.043552593772794176,0.12652859687180157,0.001295030062600927,0.006003176404152821
8,0.016180094532122987,0.058428877072632515,0.000885832063833643,0.0036291591097814546
9,0.007844891789186863,0.030228839498322963,0.0018216066417469892,0.01301904816379107
10,0.016662720574080112,0.05985673835443534,0.0012416715467057282,0.0059958647765956385
