trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.011246123086079043,0.041384265935884935,0.0016726558155480383,0.010543171028814413
2,0.007502879300043631,0.02237491619039112,0.0029461893708227797,0.010605286781295575
3,0.00820831795700333,0.028147285769725725,0.0020710949783641127,0.006654532376174416
4,0.010172104583568879,0.025071467636999897,0.001046899267734152,0.004091606090444344
5,0.009550497475416135,0.03144721640341256,0.0013242425635626748,0.005315422336252595
6,0.007761131536652383,0.03240622703674904,0.0012307759845368398,0.004993817246997878
7,0.007652835279801709,0.026091509392505794,0.0015664916611472716,0.00892597541872675
8,0.007537179340309599,0.029864548272479346,0.0016398224835394537,0.008539907753881693
9,0.007305069812862437,0.030964501118945414,0.0026247273813278763,0.013209487572023448
10,0.004070702767687339,0.01584493076006077,0.0024375546382761257,0.008130606813043784
