trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.09834692063316987,0.3447106331985748,0.000969567233553713,0.005020288131499573
2,10.543410272977477,35.86572645114642,0.004879074762816188,0.03315614138697426
3,0.07357109705561903,0.26230848370898296,0.0011495808697199602,0.004184233594336062
4,0.06799308728779847,0.24490496959274533,0.0017840509012708844,0.008590574860099842
5,5.774364839526643,18.779028545533745,0.005824452816188322,0.033910818658574926
6,0.0679534817273977,0.24926037120089192,0.002639767053556025,0.010025816789903885
7,0.08236659402620035,0.2379997252934284,0.0012500875596269155,0.004918753160772393
8,0.07421086690831107,0.3186990943633872,0.0013221963323375922,0.005854623733145825
9,0.1355219830183738,0.4028909382050724,0.002377342773746849,0.009925857418188855
10,0.07432703851564405,0.28118900927442125,0.0012362918045284274,0.004541030373023336
