trial,sample,time_s,true_x_m,true_y_m,true_force_N,est_x_m,est_y_m,est_force_N,position_error_mm,force_error_N,optimizer_cost,optimizer_success
1,0,0.0,-0.074739147835298,-0.0096615419009284,19.91515628332671,-0.07474307084689823,-0.00966508335202261,19.914911498404344,0.005285063468698347,0.0002447849223656817,0.00012923313116458706,True
1,1,0.0199399396351686,-0.0750387903382803,-0.008642158837974,19.91515628332671,-0.07503618963783816,-0.008640289494233703,19.914716178717104,0.00320282512934034,0.00044010460960564046,0.0003397230739333991,True
1,2,0.0398798792703372,-0.0753384328412625,-0.0076227757750196,19.91515628332671,-0.07533859006685863,-0.007614756662412436,19.91516848997853,0.008020653769765289,1.2206651820889647e-05,0.0002020519529619848,True
1,3,0.0598198189055058,-0.0756380753442448,-0.0066033927120652,19.91515628332671,-0.0756327186976023,-0.006601000150300698,19.91702183981382,0.005866686888660175,0.0018655564871110641,0.0002348015480072644,True
1,4,0.0797597585406744,-0.0759377178472271,-0.0055840096491108,19.91515628332671,-0.07594843440098849,-0.0055860221495388634,19.914402305479292,0.010903883826130802,0.0007539778474168202,0.00022001377830371317,True
1,5,0.099699698175843,-0.0762373603502094,-0.0045646265861564,19.91515628332671,-0.07624420269543403,-0.004572492647918553,19.91428237071892,0.010425575083374234,0.0008739126077905723,0.00010111476100006655,True
1,6,0.1196396378110117,-0.0765370028531917,-0.003545243523202,19.91515628332671,-0.07653504117401883,-0.0035357850111656804,19.916094826961594,0.009659794776210848,0.0009385436348843257,0.00019393219273812804,True
1,7,0.1395795774461803,-0.076836645356174,-0.0025258604602476,19.91515628332671,-0.07683932505263293,-0.002513983791185174,19.914517089822546,0.012175222426319774,0.0006391935041634156,0.00015542586418226548,True
1,8,0.1595195170813489,-0.0771362878591563,-0.0015064773972932,19.91515628332671,-0.0771315802829561,-0.001504789339167962,19.91581163592481,0.005001081274576618,0.0006553525981018993,0.00016403917066777046,True
1,9,0.1794594567165175,-0.0774359303621386,-0.0004870943343388,19.91515628332671,-0.07743116125821023,-0.0004886430332495282,19.91597740010563,0.00501426171990075,0.000821116778919162,0.00032449841614894375,True
1,10,0.1993993963516861,-0.0777355728651209,0.0005322887286155,19.91515628332671,-0.07774027395933564,0.0005309121760009343,19.91373678321735,0.004898487921446497,0.0014195001093604276,0.00014790779204911745,True
1,11,0.2193393359868548,-0.0780352153681031,0.0015516717915699,19.91515628332671,-0.07803600791566015,0.001563153383759214,19.915130599345503,0.011508913538293145,2.5683981206725548e-05,0.00020156246036316718,True
1,12,0.2392792756220234,-0.0783348578710854,0.0025710548545243,19.91515628332671,-0.07833428669855926,0.0025878929226746047,19.913292567200823,0.01684775287950703,0.0018637161258858725,0.0002051962777377718,True
1,13,0.259219215257192,-0.0786345003740677,0.0035904379174787,19.91515628332671,-0.07864526341971066,0.0035923837412576635,19.91513999831877,0.01093752173443282,1.6285007937710816e-05,0.00021727498911307036,True
1,14,0.2791591548923606,-0.07893414287705,0.0046098209804331,19.91515628332671,-0.0789332250077125,0.004610886608510632,19.915367747833116,0.0014064307022875456,0.00021146450640685543,0.00016678150745160305,True
1,15,0.2990990945275292,-0.0792337853800323,0.0056292040433875,19.91515628332671,-0.07923117303923666,0.005636585329542055,19.915916410202602,0.007829923992478555,0.0007601268758925528,0.00020023002547100136,True
1,16,0.3190390341626978,-0.0795334278830146,0.0066485871063419,19.91515628332671,-0.07953061824402863,0.006648583461118866,19.915385810805297,0.002809641350621264,0.0002295274785879542,0.0001793795364165355,True
1,17,0.3389789737978664,-0.0798330703859969,0.0076679701692963,19.91515628332671,-0.07983572412902702,0.0076613968623484505,19.91436792802194,0.007088773963147668,0.000788355304770505,0.00023621603233366879,True
1,18,0.358918913433035,-0.0801327128889791,0.0086873532322507,19.91515628332671,-0.08014079524808382,0.008687812995330538,19.91431085418824,0.008095425299964671,0.0008454291384687451,0.00030564783245109523,True
1,19,0.3788588530682037,-0.0804323553919614,0.0097067362952051,19.91515628332671,-0.08042870185164572,0.009705715765908566,19.91662412215804,0.003793393847656468,0.0014678388313313917,0.00022032706744172043,True
1,20,0.3987987927033723,-0.0807319978949437,0.0107261193581595,19.91515628332671,-0.08073067077059089,0.010732640284810434,19.916561447874628,0.0066546031763509,0.0014051645479185026,0.0001456198652738123,True
1,21,0.4187387323385409,-0.081031640397926,0.0117455024211139,19.91515628332671,-0.08103467730330477,0.011744074283369215,19.912507361849496,0.0033559457232492985,0.002648921477213406,0.0002861137342038883,True
1,22,0.4386786719737096,-0.0813312829009083,0.0127648854840683,19.91515628332671,-0.08133482251981436,0.012763823459769006,19.91409920194324,0.0036955104670994307,0.0010570813834682724,0.00014941935435136414,True
1,23,0.4586186116088782,-0.0816309254038906,0.0137842685470227,19.91515628332671,-0.08162977842599996,0.013791907627976068,19.914442327562014,0.007724708155892537,0.0007139557646951289,0.0001139227721511408,True
1,24,0.4785585512440468,-0.0819305679068729,0.0148036516099771,19.91515628332671,-0.08192861173549328,0.014793173709447865,19.914926417298638,0.010658940189672615,0.00022986602807151257,0.0002441610929287065,True
1,25,0.4984984908792154,-0.0822302104098552,0.0158230346729315,19.91515628332671,-0.08223352624935094,0.015817350886609502,19.915633299216367,0.006580290154364564,0.0004770158896576504,0.00022005515379377747,True
1,26,0.518438430514384,-0.0825298529128375,0.0168424177358859,19.91515628332671,-0.08253019270383394,0.01685094541565139,19.915220618593068,0.008534446678258374,6.433526635873932e-05,0.00023315652236863144,True
1,27,0.5383783701495526,-0.0828294954158198,0.0178618007988403,19.91515628332671,-0.082826124604764,0.017847490351924535,19.914842860312064,0.01470208346129179,0.00031342301464576394,0.00019411667096235695,True
1,28,0.5583183097847213,-0.083129137918802,0.0188811838617947,19.91515628332671,-0.08312857061383735,0.018888735821603348,19.917088015494468,0.007573237872557057,0.0019317321677583266,0.00022866491649925483,True
1,29,0.5782582494198899,-0.0834287804217843,0.0199005669247491,19.91515628332671,-0.08342505954353205,0.019897870594214617,19.91425750121091,0.0045951205989881085,0.0008987821158008558,0.00021571050195900115,True
1,30,0.5981981890550585,-0.0837284229247666,0.0209199499877035,19.91515628332671,-0.08372544174876179,0.02091968806667599,19.915963250615942,0.002992659853088704,0.0008069672892325741,0.00016108182432204198,True
1,31,0.6181381286902271,-0.0840280654277489,0.0219393330506579,19.91515628332671,-0.08402224236476001,0.021944999597089343,19.916229660335404,0.00812513452395264,0.001073377008694365,0.00018113180737074538,True
1,32,0.6380780683253957,-0.0843277079307312,0.0229587161136123,19.91515628332671,-0.08433117210036112,0.022959174466603012,19.916170280398863,0.0034943609843468976,0.0010139970721532165,0.00015389848943436562,True
1,33,0.6580180079605643,-0.0846273504337135,0.0239780991765667,19.91515628332671,-0.08463325312831163,0.02398267631075382,19.91422795098722,0.007469401641744408,0.0009283323394875254,0.00021125881712796236,True
1,34,0.6779579475957329,-0.0849269929366958,0.0249974822395211,19.91515628332671,-0.08492518888489918,0.02498882120721551,19.913756515082625,0.00884692508634099,0.0013997682440844983,0.0002910518283349888,True
1,35,0.6978978872309015,-0.0852266354396781,0.0260168653024755,19.91515628332671,-0.08522821149299764,0.026025708124097175,19.91473375266798,0.008982173361654942,0.0004225306587279931,0.00020950554070482447,True
1,36,0.7178378268660701,-0.0855262779426603,0.0270362483654299,19.91515628332671,-0.08552852779549476,0.027043679809667757,19.91559299608855,0.007764547716198992,0.00043671276183943064,0.00016554805754664503,True
1,37,0.7377777665012388,-0.0858259204456426,0.0280556314283843,19.91515628332671,-0.08582660662102999,0.028058814274307942,19.916733673166274,0.0032559706441998575,0.001577389839564347,7.727033190333557e-05,True
1,38,0.7577177061364074,-0.0861255629486249,0.0290750144913387,19.91515628332671,-0.08613390797795643,0.02908350395012799,19.915533065151283,0.011904218793317786,0.0003767818245741239,0.00031039340393196975,True
1,39,0.777657645771576,-0.0864252054516072,0.0300943975542931,19.91515628332671,-0.08642989552663176,0.030107045751360598,19.916308360095012,0.013489762518082034,0.0011520767683030897,0.0001388885095631205,True
1,40,0.7975975854067446,-0.0867248479545895,0.0311137806172475,19.91515628332671,-0.08672080607192278,0.031108573299040786,19.913365395245417,0.006591887316805599,0.001790888081291797,0.0001383287367351147,True
1,41,0.8175375250419132,-0.0870244904575718,0.0321331636802019,19.91515628332671,-0.0870203868632066,0.03212110470493026,19.91529248154327,0.012738067801523948,0.00013619821655908027,0.000173910151189764,True
1,42,0.8374774646770818,-0.0873241329605541,0.0331525467431563,19.91515628332671,-0.08732808431700011,0.03316045814255546,19.915585927514645,0.008843271918043995,0.0004296441879354518,0.0002038706166987082,True
1,43,0.8574174043122504,-0.0876237754635364,0.0341719298061107,19.91515628332671,-0.08761925100305235,0.03417721667546101,19.91819074881791,0.006958572425363754,0.0030344654912006774,0.000256413763511363,True
1,44,0.8773573439474192,-0.0879234179665186,0.0351913128690651,19.91515628332671,-0.08792576738772614,0.03519683876460005,19.91737517170672,0.00600460668767151,0.0022188883800104975,0.0002939935640357545,True
1,45,0.8972972835825878,-0.0882230604695009,0.0362106959320195,19.91515628332671,-0.08822245300817927,0.0362071255724389,19.915391891544612,0.003621667681059775,0.00023560821790269415,0.0001633642203363559,True
1,46,0.9172372232177564,-0.0885227029724832,0.0372300789949739,19.91515628332671,-0.08852299385973308,0.03722439293433593,19.915406439385723,0.005693496374885613,0.0002501560590140173,0.00017655720818770252,True
1,47,0.937177162852925,-0.0888223454754655,0.0382494620579283,19.91515628332671,-0.08882886783314232,0.038253661484851924,19.918401439189363,0.007757340791233531,0.003245155862654059,0.00017308643054642097,True
1,48,0.9571171024880936,-0.0891219879784478,0.0392688451208827,19.91515628332671,-0.08911800902752004,0.03926833026638716,19.912613944435474,0.0040121223357548995,0.0025423388912351186,0.00019562047787763923,True
1,49,0.9770570421232622,-0.0894216304814301,0.0402882281838371,19.91515628332671,-0.08942684109825037,0.040291894770149314,19.9150368332486,0.006371372131068836,0.0001194500781096508,0.00012702730942223104,True
1,50,0.9969969817584308,-0.0897212729844124,0.0413076112467915,19.91515628332671,-0.08971867050792305,0.04129168650689811,19.91216246797928,0.016135991588674112,0.002993815347430484,0.00018746708936848822,True
1,51,1.0169369213935997,-0.0900209154873947,0.0423269943097459,19.91515628332671,-0.09001986325682516,0.04232717560644005,19.913899306186124,0.0010677348279316049,0.001256977140585036,0.00014170488065582166,True
1,52,1.036876861028768,-0.090320557990377,0.0433463773727003,19.91515628332671,-0.09031377120589774,0.0433378619298013,19.91386278857476,0.010889132717256281,0.0012934947519482876,0.00022225513267226757,True
1,53,1.056816800663937,-0.0906202004933592,0.0443657604356547,19.91515628332671,-0.09062054877015943,0.04436629457234822,19.91542314627698,0.0006376509522818488,0.00026686295026934204,0.0001891269118196022,True
1,54,1.0767567402991052,-0.0909198429963415,0.0453851434986091,19.91515628332671,-0.09091044755004983,0.04536823989960245,19.91149501502116,0.01933923655155866,0.00366126830554947,0.0003172321741811606,True
1,55,1.096696679934274,-0.0912194854993238,0.0464045265615635,19.91515628332671,-0.09122722788623316,0.04640164483405364,19.91265407640455,0.00826128975980656,0.002502206922159189,0.00016787452594438764,True
1,56,1.1166366195694426,-0.0915191280023061,0.0474239096245179,19.91515628332671,-0.09151549670025713,0.047407054439408874,19.910884031824885,0.017241914616146624,0.004272251501824087,0.00028917379534141457,True
1,57,1.136576559204611,-0.0918187705052884,0.0484432926874723,19.91515628332671,-0.09182207783622842,0.048457871780057275,19.919485098326707,0.014949527703177964,0.004328814999997377,0.000362592164997318,True
1,58,1.1565164988397798,-0.0921184130082707,0.0494626757504267,19.91515628332671,-0.09212349316643623,0.049478616556893035,19.918394815086252,0.016730729744514616,0.0032385317595426955,0.00017213514134083654,True
1,59,1.1764564384749483,-0.092418055511253,0.0504820588133811,19.91515628332671,-0.09242081773132786,0.05049836770197476,19.9190650869301,0.016541151921867062,0.0039088036033909646,9.872310924684803e-05,True
1,60,1.196396378110117,-0.0927176980142353,0.0515014418763355,19.91515628332671,-0.09272082590592304,0.051500692510466864,19.91615652371322,0.00321640414365604,0.0010002403865101428,0.0002960698299188148,True
1,61,1.2163363177452855,-0.0930173405172175,0.0525208249392899,19.91515628332671,-0.0930185685469274,0.052518317040775114,19.915120633571206,0.002792420442709407,3.56497555031865e-05,0.0002796210415030399,True
1,62,1.2362762573804542,-0.0933169830201998,0.0535402080022443,19.91515628332671,-0.09331486737003461,0.05354255427237028,19.914342012729985,0.003159265599083096,0.0008142705967237873,0.00017003805772058443,True
1,63,1.2562161970156227,-0.0936166255231821,0.0545595910651987,19.91515628332671,-0.09361820328571806,0.05456787956065031,19.91864624594511,0.00843732727060286,0.0034899626183992893,0.00015714791847379006,True
1,64,1.2761561366507914,-0.0939162680261644,0.0555789741281531,19.91515628332671,-0.09391574470271656,0.05558578977585396,19.9178409467444,0.0068357092545892695,0.002684663417689137,0.0002286709106139336,True
1,65,1.29609607628596,-0.0942159105291467,0.0565983571911075,19.91515628332671,-0.09421898782712285,0.05661108247012754,19.919637856555692,0.013092077336003937,0.004481573228982683,0.00017701074953610366,True
1,66,1.3160360159211286,-0.094515553032129,0.0576177402540619,19.91515628332671,-0.09450839678131305,0.05759467533513963,19.906888137741646,0.02414958406746403,0.00826814558506328,0.0003445146190061202,True
1,67,1.3359759555562971,-0.0948151955351113,0.0586371233170163,19.91515628332671,-0.0948190050995226,0.05863108714762078,19.91392202765577,0.007137795316151207,0.0012342556709405983,0.00022508264697379147,True
1,68,1.3559158951914658,-0.0951148380380935,0.0596565063799707,19.91515628332671,-0.0951082450271181,0.05964662930239123,19.913416289386184,0.011875371793447108,0.001739993940525153,0.0002501395614733639,True
1,69,1.3758558348266343,-0.0954144805410759,0.0606758894429251,19.91515628332671,-0.09541299264934901,0.060661175393732926,19.910117034461333,0.01478908602384782,0.005039248865376322,0.00018834582444698133,True
1,70,1.395795774461803,-0.0957141230440581,0.0616952725058795,19.91515628332671,-0.09571128717583721,0.06168976676952892,19.914595642013815,0.00619316408052961,0.000560641312894461,0.00017864317463548636,True
1,71,1.4157357140969715,-0.0960137655470404,0.0627146555688339,19.91515628332671,-0.09601530597888004,0.0627088337524787,19.91340789252165,0.006022165385171498,0.0017483908050586194,0.00019951425707585662,True
1,72,1.4356756537321402,-0.0963134080500227,0.0637340386317883,19.91515628332671,-0.09631544646987553,0.0637384757960983,19.915940835739008,0.004882989106111007,0.0007845524122984671,0.00013261617658133544,True
1,73,1.455615593367309,-0.096613050553005,0.0647534216947427,19.91515628332671,-0.09661463454560575,0.06475117899831144,19.915446556795423,0.0027456729306342574,0.0002902734687140196,0.00021085969440000091,True
1,74,1.4755555330024777,-0.0969126930559873,0.0657728047576971,19.91515628332671,-0.0969052746628801,0.06575874459657208,19.91038645691379,0.015897191171863674,0.004769826412918121,0.00014749008616499895,True
1,75,1.4954954726376462,-0.0972123355589696,0.0667921878206515,19.91515628332671,-0.09721074833409601,0.06680022402847453,19.91801276095511,0.008191454020771993,0.002856477628402132,0.0001770896774956591,True
1,76,1.5154354122728149,-0.0975119780619519,0.0678115708836059,19.91515628332671,-0.09751188016341855,0.06780933380922277,19.914239654823334,0.002239215469416505,0.0009166285033757049,0.0001753064262794356,True
1,77,1.5353753519079834,-0.0978116205649342,0.0688309539465603,19.91515628332671,-0.09781121779117251,0.06883391007912816,19.915759374629115,0.0029834454011856883,0.0006030913024055451,0.00014373195674563492,True
1,78,1.555315291543152,-0.0981112630679164,0.0698503370095147,19.91515628332671,-0.09811330654872268,0.06984343497170137,19.912638625891,0.007198190035167296,0.0025176574357104187,0.0002907307749122905,True
1,79,1.5752552311783206,-0.0984109055708987,0.0708697200724691,19.91515628332671,-0.09841352119722682,0.07086888817511315,19.914691465948632,0.002744732099716627,0.00046481737807724244,0.00012659947064275762,True
1,80,1.5951951708134893,-0.098710548073881,0.0718891031354235,19.91515628332671,-0.09871026120488678,0.07188866355031377,19.916191840179874,0.00052490845729141,0.0010355568531643655,0.00016804332176313696,True
1,81,1.615135110448658,-0.0990101905768633,0.0729084861983779,19.91515628332671,-0.09900381598884953,0.07290654574621533,19.913110287842237,0.006663387047191367,0.002045995484472485,0.0002721771472045388,True
1,82,1.6350750500838265,-0.0993098330798456,0.0739278692613323,19.91515628332671,-0.09931045176478906,0.07392646250129098,19.915402410077025,0.0015367969524652837,0.00024612675031576714,0.0002234100960988185,True
1,83,1.6550149897189952,-0.0996094755828279,0.0749472523242867,19.91515628332671,-0.09961000753473692,0.07494881994074457,19.91428474079559,0.0016554136016357886,0.000871542531118763,0.00015184439306280994,True
1,84,1.6749549293541637,-0.0999091180858102,0.0759666353872411,19.91515628332671,-0.09991221820672623,0.07596850273967674,19.918412711010276,0.0036190820400913873,0.0032564276835671535,0.00017818823293394697,True
1,85,1.6948948689893324,-0.1002087605887925,0.0769860184501955,19.91515628332671,-0.10020762424323532,0.07698972212347206,19.916130511630076,0.0038740775630952545,0.0009742283033666865,0.00021209711469502866,True
1,86,1.7148348086245009,-0.1005084030917747,0.0780054015131499,19.91515628332671,-0.10050970773177721,0.07800930386175647,19.917146565473583,0.004114657966757264,0.001990282146874023,0.00011619933226429614,True
1,87,1.7347747482596696,-0.100808045594757,0.0790247845761043,19.91515628332671,-0.10080986520115044,0.07901890722818837,19.911915911298117,0.00615257555434794,0.0032403720285927307,0.00021244310491468242,True
