trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.0064415612934606,0.023710253546666976,0.002025795329044058,0.012344931658802238
2,0.003876026434099557,0.014369206205852934,0.0012695633930539575,0.004796126726827055
3,0.007979422787621765,0.027022132318222016,0.0014973365271869856,0.007565039698299358
4,0.00412465063512402,0.016764265110808432,0.001370438780454015,0.00578083232689508
5,0.00733297839783378,0.027300791186839105,0.0013845961991672659,0.006492714470038408
6,0.007185946806575446,0.021591804775519127,0.002068769852599953,0.010371947011552862
7,0.008879948377880762,0.03181482339779022,0.0025890184474526134,0.0115151556796107
8,0.012986235954184066,0.038352322229813926,0.0019342628999919735,0.006258418143840316
9,0.00616698875171632,0.023085420751824563,0.0015230352967539708,0.007028798004288461
10,0.009762598219482421,0.029954376147082788,0.0020864604940622113,0.00792642354644002
