layout,offset_m,offset_mm,targets,mean_error_mm,rmse_error_mm,max_error_mm,mean_transmission_efficiency,min_transmission_efficiency,mean_measured_force_N
offset_104mm,0.10400000000000005,104.00000000000006,841,0.10920278584841411,0.13452723436848696,0.4774312498164399,0.5146177291164155,0.38031191255765706,5.146177291164155
offset_105mm,0.10500000000000005,105.00000000000006,841,0.10623535913628257,0.1301672400995667,0.46417893181109743,0.5117030645899387,0.3821038423308327,5.117030645899387
offset_106mm,0.10600000000000005,106.00000000000006,841,0.10931323067093088,0.13348533961437975,0.4445788308670491,0.5088959598514281,0.3860769633408895,5.088959598514282
offset_107mm,0.10700000000000005,107.00000000000006,841,0.10595001538882784,0.12996311410689632,0.4340800280606595,0.5059829179193627,0.38907067945039453,5.059829179193627
offset_108mm,0.10800000000000005,108.00000000000006,841,0.10811675567412389,0.13172449248162643,0.5602161452889681,0.5030648340410243,0.389713755556219,5.0306483404102424
offset_109mm,0.10900000000000006,109.00000000000006,841,0.10671975022780815,0.13077855590944476,0.5374689066990394,0.5000276223892849,0.39518627747591073,5.00027622389285
offset_110mm,0.11000000000000006,110.00000000000006,841,0.10579439487358153,0.13074550739235977,0.41736550758983454,0.4970527047024179,0.39735383930236673,4.970527047024177
offset_111mm,0.11100000000000006,111.00000000000006,841,0.1164010217950221,0.1436471359918186,0.617083852035371,0.4941456644469709,0.3977288935182483,4.941456644469708
offset_112mm,0.11200000000000006,112.00000000000006,841,0.11257805379895325,0.1384298791999569,0.5824734492237776,0.49096207228274097,0.3952798924366504,4.90962072282741
offset_113mm,0.11300000000000006,113.00000000000006,841,0.11173922261249396,0.14034929431175508,0.7481799188722827,0.487945775553396,0.39307017161311136,4.87945775553396
offset_114mm,0.11400000000000006,114.00000000000006,841,0.11430428775745069,0.14005892563777445,0.5979769625377062,0.48482520108692384,0.38943034245598984,4.8482520108692375
offset_115mm,0.11500000000000006,115.00000000000006,841,0.11275805683045247,0.13848430025784414,0.5057653879017425,0.48171445653592293,0.38542142880113517,4.8171445653592295
offset_116mm,0.11600000000000006,116.00000000000006,841,0.12138094019837553,0.1531905646835592,0.6171170256761357,0.4785689245123021,0.3829568419036781,4.78568924512302
offset_117mm,0.11700000000000006,117.00000000000006,841,0.1166978363029464,0.1450531987414283,0.6401627381942655,0.4754485378862386,0.3788656544334973,4.754485378862386
offset_118mm,0.11800000000000006,118.00000000000006,841,0.11424923792319433,0.14287377211449523,0.5690677157889661,0.47219439498326915,0.37539728908799525,4.721943949832691
offset_119mm,0.11900000000000006,119.00000000000007,841,0.11785536110869847,0.14519246504235228,0.46666265175301763,0.46900410615634064,0.3731365972520001,4.690041061563406
offset_120mm,0.12000000000000006,120.00000000000007,841,0.12236123106247773,0.15513077126928781,0.6774672260550529,0.46581881127544766,0.3700261812693756,4.658188112754476
offset_121mm,0.12100000000000007,121.00000000000007,841,0.12555822740281872,0.15610763548153656,0.5551075615530509,0.4626134171726606,0.36447240255089947,4.626134171726607
offset_122mm,0.12200000000000007,122.00000000000007,841,0.11694206836702821,0.14782043153060007,0.6175138360704879,0.4593372344842958,0.3629566541381719,4.593372344842958
offset_123mm,0.12300000000000007,123.00000000000007,841,0.12343823630481786,0.1546601641152295,0.7767855973987118,0.4561061130151322,0.35883503773818326,4.561061130151322
offset_124mm,0.12400000000000007,124.00000000000007,841,0.12642849213708973,0.15973351372151876,0.6123933210757224,0.4527907426792467,0.35555659523107713,4.527907426792467
offset_125mm,0.12500000000000006,125.00000000000006,841,0.1258514804254175,0.16002750602032714,0.8196438768808965,0.44960740527393456,0.35194607206213246,4.4960740527393455
offset_126mm,0.12600000000000006,126.00000000000006,841,0.12899029773560353,0.1605882591615675,0.6347329570744185,0.4462599102642526,0.348958051928728,4.4625991026425265
offset_127mm,0.12700000000000006,127.00000000000006,841,0.13314822811548285,0.16607920391383318,0.5598284284297202,0.44299307687823825,0.3455700993592496,4.429930768782383
offset_128mm,0.12800000000000006,128.00000000000006,841,0.13515596423342774,0.17107217486261866,0.6501430038583412,0.4397626137765726,0.3416139969346149,4.397626137765726
offset_129mm,0.12900000000000006,129.00000000000006,841,0.13301212284605932,0.16906831462029068,0.8033371539484517,0.43641022234224724,0.33769576456554967,4.3641022234224724
offset_130mm,0.13000000000000006,130.00000000000006,841,0.1360127732673657,0.17243296191038385,0.7305211709160434,0.4331639046024895,0.33457551006535213,4.331639046024895
offset_131mm,0.13100000000000006,131.00000000000006,841,0.1348756726023807,0.1689497590279736,0.60951480233726,0.42978850961272547,0.3304590672400242,4.297885096127255
offset_132mm,0.13200000000000006,132.00000000000006,841,0.13811981170540616,0.17547321344531178,0.7086400335552442,0.426483942450555,0.326676054549479,4.26483942450555
offset_133mm,0.13300000000000006,133.00000000000006,841,0.1393202707273359,0.1790215705044999,0.8430073057575843,0.4231871752919546,0.322217707347078,4.231871752919545
offset_134mm,0.13400000000000006,134.00000000000006,841,0.13687452887891038,0.17360188691243186,0.6530611863014599,0.41984729358723427,0.3200967237730181,4.198472935872343
offset_135mm,0.13500000000000006,135.00000000000006,841,0.14763153429412276,0.18670634980752526,0.687238404792098,0.41655680902662695,0.31533195623169014,4.1655680902662695
offset_136mm,0.13600000000000007,136.00000000000006,841,0.14263301299871792,0.18112900758307932,0.7033888767677638,0.4131947170888847,0.3122098104454847,4.131947170888846
offset_137mm,0.13700000000000007,137.00000000000006,841,0.14975070283227107,0.1925750898960016,0.8295297824421711,0.40992124163103266,0.30722833811335276,4.099212416310326
offset_138mm,0.13800000000000007,138.00000000000006,841,0.14614526999782204,0.18845345476156117,0.8534207129199061,0.40664408549611375,0.3050340009510181,4.066440854961137
offset_139mm,0.13900000000000007,139.00000000000006,841,0.15452137047992853,0.19572451392845397,0.8173453582781416,0.40339428417249246,0.30220619982134045,4.033942841724925
offset_140mm,0.14000000000000007,140.00000000000006,841,0.15016466908790652,0.18870981818682034,0.9388944155782389,0.4000722817159132,0.29735190840035736,4.000722817159132
offset_141mm,0.14100000000000007,141.00000000000006,841,0.15685615369038333,0.20309730556665198,0.8540267675824741,0.396740336999579,0.2946823067628318,3.9674033699957905
offset_142mm,0.14200000000000007,142.00000000000006,841,0.1587355520136099,0.2030976921151105,1.017689734928534,0.393549008416068,0.29029634640770785,3.9354900841606804
offset_143mm,0.14300000000000007,143.00000000000009,841,0.16033917012024548,0.20316080655912547,0.7321964025902228,0.3903595125384346,0.28722036206444185,3.9035951253843453
offset_144mm,0.14400000000000007,144.00000000000009,841,0.16590453148539994,0.21313174812964997,0.8497730775892228,0.3871038617990147,0.28351178338181127,3.8710386179901466
offset_145mm,0.14500000000000007,145.00000000000009,841,0.16602963449884484,0.21172938846860234,0.6939257030086622,0.3838198898307693,0.28047467543036125,3.838198898307693
offset_146mm,0.14600000000000007,146.00000000000009,841,0.16552853460571965,0.2111875421252542,1.036891263099437,0.3806548938017042,0.2746372015234575,3.806548938017042
offset_147mm,0.14700000000000008,147.00000000000009,841,0.16934601647254263,0.21795080030311917,0.8819636565172005,0.37743079727315343,0.27207654165211775,3.774307972731534
offset_148mm,0.14800000000000008,148.00000000000009,841,0.1713352577917025,0.22013624357585132,1.1665564356505331,0.374274433394023,0.26944496720473904,3.7427443339402298
offset_149mm,0.14900000000000008,149.00000000000009,841,0.1735950872992201,0.2250708109950874,0.9498390710788893,0.3710899328899901,0.2655629688151381,3.7108993288999006
offset_150mm,0.15000000000000008,150.00000000000009,841,0.1715173656148864,0.22285527700003463,0.9157703842697065,0.3679784796711962,0.262543392193761,3.679784796711963
