trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.029674864827380104,0.14979664261697323,0.0009262800558812312,0.004020934860699654
2,0.0064879203517064065,0.02596810599427193,0.002299592479216534,0.009625964982312496
3,0.00794449651314274,0.02820900306605553,0.0012016628040776467,0.006784736246029155
4,0.01764669814825957,0.050417045560585745,0.0009925024485510324,0.005292118657884259
5,0.015884743623147547,0.04688780551704689,0.0026263271073897155,0.008300910703537667
6,0.02953359875948547,0.10796108045431899,0.0012594119561785207,0.005449940858422764
7,0.007283314540299164,0.02716581285061752,0.0011602223584209518,0.00606470661540115
8,0.005625932938018636,0.02339694268795908,0.001152514502496396,0.004804109932173617
9,0.008977320971386649,0.03200630076507464,0.002134693548605196,0.012794988353835635
10,0.030800347686451415,0.1380920906251516,0.001325243430477742,0.005821670198554507
