trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.024465053080954705,0.1458745464432949,0.001185512867671586,0.006407388634887212
2,0.02008496309920841,0.07815431758170614,0.0018456439170122605,0.010106686711436552
3,0.008044975867145667,0.025190242016654332,0.0016659698285832673,0.006356148455008537
4,0.02023215780416854,0.06432922647251357,0.002133916096487221,0.007047864133124193
5,0.01187577341025305,0.04483764014552107,0.0028350776586927476,0.011301708487829742
6,0.006699290695910306,0.017371826469138773,0.0010639185374046733,0.0029682944080384743
7,0.0151909858301065,0.06761262963727165,0.0013142945917633104,0.005469768604616121
8,0.019992485826052436,0.060027260281658106,0.0008539905555683772,0.0021732591151737424
9,0.4844307453716601,5.2949647788238225,0.0010259370365584618,0.01394525973896225
10,0.007465469918639159,0.02780343748171339,0.0012112332377632018,0.005527571095129247
