trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.004832503605015596,0.022172238200930047,0.001326574643880187,0.007134315144316616
2,0.005807721691793814,0.02707207235758405,0.0010800093705830027,0.0045636670514284106
3,0.006042020219116537,0.03273330818170121,0.0016708364999111994,0.007945943200859062
4,0.005887350227376696,0.024427889510449868,0.0013529584337392412,0.005581487144006303
5,0.009645903356158132,0.05432320383439943,0.0014855999315208485,0.00815062145082912
6,0.0060826536906114234,0.019694681936941034,0.0023910799753790375,0.009415358531413176
7,0.00902649284495913,0.03076473768480823,0.0018157359949414046,0.00730764836440656
8,0.014004508809257169,0.048769082454772655,0.0014257917661875195,0.007083965390103586
9,0.006801915918183215,0.027080665400908283,0.002055134442459568,0.013971528925065257
10,0.008074325226807346,0.02581598040299049,0.001637792322462865,0.007063576783590264
