trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.023159038716147922,0.15954842743810707,0.0011275793870469727,0.005504444005431708
2,0.010933569024577776,0.03656966818345701,0.001094617930941777,0.003981770849419419
3,0.010295730250619351,0.04196002739722929,0.0013235135439080567,0.0045923609739535465
4,0.02685644392906089,0.1236836340479793,0.0012890574796091015,0.004549131317872934
5,0.00882139019222565,0.04025651429022123,0.0014926153913522575,0.007164778922930992
6,0.012700322893235206,0.04383030373149612,0.0015063366144748333,0.0061974745754120875
7,0.009254451726133043,0.025625578044486196,0.0008791301848356003,0.0033257737711060997
8,0.012143733385752104,0.04439828787945419,0.001046174787507493,0.004297470039329454
9,0.006539720278840001,0.02505251220160242,0.0016466693691288726,0.0065973820124902716
10,0.01290641652065423,0.04807758339530242,0.0017291097300965081,0.008042593205654924
