trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.009811567539615457,0.051773027202566185,0.002623629259024275,0.009971834292834103
2,0.015622574494025977,0.0617037646079174,0.000925253800130958,0.003451451601076627
3,0.005382948910143018,0.024869983081193293,0.0013525490068053063,0.007774342608040996
4,0.009814029173504176,0.02889235960930713,0.002110389051316455,0.006807141821507656
5,0.00658863389589273,0.01824046182108152,0.0008783966164518913,0.0033456342153108665
6,0.006377626025714462,0.02331299130784657,0.0015144299449169104,0.008408194431630989
7,0.004678862921369037,0.012140113681299483,0.0010541473125093759,0.0036152599039311895
8,0.006380857663693295,0.020253035981338124,0.0010330254176874542,0.0041023057624531845
9,0.01050681836286377,0.039423247685674935,0.0017642809088684896,0.007775504981660575
10,0.006866369363830268,0.020813409901614656,0.0013477707228946006,0.0070720371764885215
