layout,target_name,sensor_id,weight,Fx,Fy,Fz,Tx,Ty,Tz,contact_x_m,contact_y_m,contact_z_m,est_x_m,est_y_m,est_z_m,error_mm
inset_110,Target_087,1,0.015312521728739932,0.0,0.0,-0.1531252172873993,0.0015312521728739923,0.03828130432184983,0.0,0.14,-0.12,0.0,0.13999999999999996,-0.11999999999999994,0.0,7.850462293418876e-14
inset_110,Target_087,2,0.9585638602191194,0.0,0.0,-9.585638602191194,0.09585638602191189,0.28756915806573596,0.0,0.14,-0.12,0.0,0.13999999999999996,-0.11999999999999994,0.0,7.850462293418876e-14
inset_110,Target_087,3,0.017817172123031976,0.0,0.0,-0.17817172123031977,0.040979495882973546,0.005345151636909596,0.0,0.14,-0.12,0.0,0.13999999999999996,-0.11999999999999994,0.0,7.850462293418876e-14
inset_110,Target_087,4,0.008306445929108494,0.0,0.0,-0.08306445929108494,0.019104825636949534,0.020766114822771235,0.0,0.14,-0.12,0.0,0.13999999999999996,-0.11999999999999994,0.0,7.850462293418876e-14
inset_110,Target_088,1,0.01383589669207935,0.0,0.0,-0.1383589669207935,-0.0,0.034589741730198374,0.0,0.14,-0.11,0.0,0.13999999999999999,-0.11000000000000004,0.0,5.003707553108401e-14
inset_110,Target_088,2,0.9608261591721764,0.0,0.0,-9.608261591721764,-0.0,0.288247847751653,0.0,0.14,-0.11,0.0,0.13999999999999999,-0.11000000000000004,0.0,5.003707553108401e-14
inset_110,Target_088,3,0.017540436982859217,0.0,0.0,-0.17540436982859217,0.03858896136229028,0.005262131094857767,0.0,0.14,-0.11,0.0,0.13999999999999999,-0.11000000000000004,0.0,5.003707553108401e-14
inset_110,Target_088,4,0.007797507152885118,0.0,0.0,-0.07797507152885118,0.01715451573634726,0.019493767882212795,0.0,0.14,-0.11,0.0,0.13999999999999999,-0.11000000000000004,0.0,5.003707553108401e-14
inset_110,Target_089,1,0.00681553038655631,0.0,0.0,-0.0681553038655631,-0.0,0.01635727292773514,0.0,0.13,-0.11,0.0,0.13,-0.10999999999999997,0.0,2.7755575615628914e-14
inset_110,Target_089,2,0.9814363756641082,0.0,0.0,-9.814363756641082,-0.0,0.19628727513282168,0.0,0.13,-0.11,0.0,0.13,-0.10999999999999997,0.0,2.7755575615628914e-14
inset_110,Target_089,3,0.008044560456263186,0.0,0.0,-0.08044560456263186,0.01769803300377901,0.0016089120912526375,0.0,0.13,-0.11,0.0,0.13,-0.10999999999999997,0.0,2.7755575615628914e-14
inset_110,Target_089,4,0.003703533493072109,0.0,0.0,-0.03703533493072109,0.00814777368475864,0.00888848038337306,0.0,0.13,-0.11,0.0,0.13,-0.10999999999999997,0.0,2.7755575615628914e-14
inset_110,Target_090,1,0.0018810678561541165,0.0,0.0,-0.018810678561541165,-0.0,0.004326456069154468,0.0,0.12,-0.11,0.0,0.12000000000000002,-0.10999999999999999,0.0,3.1031676915590914e-14
inset_110,Target_090,2,0.9950848959055285,0.0,0.0,-9.950848959055286,-0.0,0.0995084895905528,0.0,0.12,-0.11,0.0,0.12000000000000002,-0.10999999999999999,0.0,3.1031676915590914e-14
inset_110,Target_090,3,0.002051721434856757,0.0,0.0,-0.020517214348567573,0.0045137871566848665,0.00020517214348567562,0.0,0.12,-0.11,0.0,0.12000000000000002,-0.10999999999999999,0.0,3.1031676915590914e-14
inset_110,Target_090,4,0.0009823148034605405,0.0,0.0,-0.009823148034605406,0.0021610925676131894,0.002259324047959243,0.0,0.12,-0.11,0.0,0.12000000000000002,-0.10999999999999999,0.0,3.1031676915590914e-14
inset_110,Target_091,1,2.0661157023726182e-11,0.0,0.0,-2.066115702372618e-10,-0.0,4.54545454521976e-11,0.0,0.11,-0.11,0.0,0.11,-0.11,0.0,0.0
inset_110,Target_091,2,0.9999999999483472,0.0,0.0,-9.999999999483473,-0.0,0.0,0.0,0.11,-0.11,0.0,0.11,-0.11,0.0,0.0
inset_110,Target_091,3,2.0661157023726182e-11,0.0,0.0,-2.066115702372618e-10,4.54545454521976e-11,0.0,0.0,0.11,-0.11,0.0,0.11,-0.11,0.0,0.0
inset_110,Target_091,4,1.033057851186309e-11,0.0,0.0,-1.0330578511863089e-10,2.2727272726098797e-11,2.2727272726098797e-11,0.0,0.11,-0.11,0.0,0.11,-0.11,0.0,0.0
inset_110,Target_092,1,0.0022553709878527415,0.0,0.0,-0.022553709878527416,-0.0,0.004736279074490758,0.0,0.1,-0.11,0.0,0.10000000000000003,-0.11000000000000003,0.0,3.925231146709438e-14
inset_110,Target_092,2,0.9946186056430603,0.0,0.0,-9.946186056430603,-0.0,-0.09946186056430598,-0.0,0.1,-0.11,0.0,0.10000000000000003,-0.11000000000000003,0.0,3.925231146709438e-14
inset_110,Target_092,3,0.0020507600116351733,0.0,0.0,-0.020507600116351735,0.004511672025597381,-0.00020507600116351725,0.0,0.1,-0.11,0.0,0.10000000000000003,-0.11000000000000003,0.0,3.925231146709438e-14
