layout,mean_centroid_error_mm,rmse_centroid_error_mm,max_centroid_error_mm,mean_ls_error_mm,rmse_ls_error_mm,max_ls_error_mm,mean_FT1_N,mean_FT2_N,mean_FT3_N,mean_FT4_N
corner_150,21.450555920064833,24.8707587902462,42.61602941587955,2.6999371901403457e-14,3.3585808733190173e-14,1.3877787807814457e-13,2.5,2.5,2.5,2.5
inset_130,22.704883554111927,26.505689022493286,51.3857677902622,2.5926765238752538e-14,3.2667511202808876e-14,1.4438902883526792e-13,2.5,2.4999999999999996,2.5,2.5
inset_110,26.14202154524052,30.686855030069317,62.648401826484054,2.3772790666998236e-14,3.0294303957018287e-14,1.4152622167509189e-13,2.5,2.5,2.5,2.5
inset_090,34.85385732886216,41.813240867885355,99.22165367686908,2.6118639355848306e-14,3.2808485477764156e-14,1.2412670766236365e-13,2.5,2.5,2.5,2.5
inset_070,50.60516540873598,61.04683058003481,139.75757557569412,2.4943458123824333e-14,3.150627556609518e-14,1.4152622167509189e-13,2.5,2.5,2.5,2.5
