target_name,phi_deg,polar_deg,radius_mm,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33,nx,ny,nz,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,x_m,y_m,z_m
Target_001,-51.555350284658296,56.77208064067066,199.91960326994976,11.009615530224043,-115.65724194940621,-126.91250583526637,6.583886132256567,42.66346518720926,-19.616159865572524,103.97802734375011,-130.97781372070312,-109.55012512207028,0.014718141513822003,-0.8585292850020743,0.5125532587977626,-0.6474653571079784,-0.3988090981318362,-0.6494150557173043,0.7619527463402289,-0.3223022960530975,-0.5617376988448296,0.5200992080969141,-0.6551524291684637,-0.5479709009533481,0.1921540403811108,-2.0185996757928435,-2.2150410887819145,0.11491049058427194,0.7446179378267807,-0.34236657625180883,0.10397802734375011,-0.13097781372070313,-0.10955012512207028
Target_002,-99.32387087119425,57.15227699612141,199.95169518584055,10.814257369456787,-99.21459374023404,-126.62891095674543,-70.62860099982855,38.86921685109274,25.95160625099222,-27.21566772460926,-165.76310729980463,-108.45542907714864,0.027621966394228648,-0.9913006284371948,-0.12868601723784523,-0.5691916369062098,0.09022997197901392,-0.8172389079288234,0.821740778742631,0.0958207504494159,-0.5617476981125649,-0.1361112127572326,-0.8290157637610418,-0.5424081500101673,0.1887443972550818,-1.7316213267956395,-2.2100914244099306,-1.2327016335243672,0.6783958117232307,0.45294097526095617,-0.02721566772460926,-0.16576310729980462,-0.10845542907714864
Target_003,-59.94248654731925,29.642042466301863,199.92339741731504,11.89175172394497,-109.14310524641299,-129.71521447287117,-21.351728911729694,61.93745274101007,-0.7607799623174789,49.52496337890619,-85.58124542236328,-173.7598724365235,0.11635731730963987,-0.9628288363733039,0.24376547449656075,-0.8772058138134243,-0.21472879545180537,-0.42941996299164337,0.4658013899940954,-0.16386633654245844,-0.8695843195617791,0.24771969673729102,-0.4280701835199567,-0.8691322510582468,0.20755022141255156,-1.9049065424006035,-2.2639575824822025,-0.37265797050294885,1.0810124806290125,-0.013278115225638397,0.049524963378906196,-0.08558124542236328,-0.1737598724365235
Target_004,-114.9426650066107,38.78947456053304,199.92358081209366,11.572049260344132,-100.103974103106,-127.36586533911164,-68.00910478457682,60.392753557580654,14.919311333381607,-52.81689453124994,-113.56275177001956,-155.83104705810547,0.14202604712352782,-0.9530886108692984,-0.26730264078324517,-0.8284730826710525,0.0333306703207224,-0.5590361506248901,0.5417203644206011,0.30085073748821434,-0.7848744361519291,-0.2641854168313044,-0.5680308011127319,-0.7794530611402446,0.20197036079597958,-1.7471439424303372,-2.222953704819222,-1.1869827998246945,1.0540523939253013,0.2603911048976144,-0.05281689453124994,-0.11356275177001957,-0.15583104705810547
Target_005,-142.29270412629012,59.60226945859298,199.92036001378744,12.238310868005259,-97.63536472604824,-120.96492649913996,-107.33209780915091,67.96110437430997,28.052585157248352,-136.42361450195295,-105.46790313720697,-101.15962219238284,0.18403792677611291,-0.7183892381804362,-0.6708553823101391,-0.7971336067360552,0.2902306680538147,-0.5294753746237918,0.5750722167866557,0.6322049207239447,-0.5192387540356677,-0.682389800081115,-0.5275495858947704,-0.5059995999677391,0.21359881952929693,-1.7040585808550732,-2.11123624684293,-1.8732984998422757,1.1861450346232298,0.489609974690075,-0.13642361450195295,-0.10546790313720697,-0.10115962219238284
Target_006,-143.18933105843283,32.96654267134456,199.9434459324016,12.149334340029663,-99.35762450118807,-126.9784943512095,-73.98806137086991,77.77865147931519,17.168392015696362,-87.106689453125,-65.18943023681653,-167.75024414062494,0.04726759093195565,-0.8978068780485773,-0.43784538889447805,-0.9450061939902243,0.10181905891093024,-0.3107992480084262,0.32361870800001646,0.428457336232162,-0.8436203191372526,-0.43565663804041216,-0.3260393454399914,-0.8389884617540263,0.21204588615912992,-1.7341176845059205,-2.216192805653627,-1.2913352780893093,1.3574935560752084,0.2996449679470075,-0.087106689453125,-0.06518943023681653,-0.16775024414062495
Target_007,-120.1898202615033,25.069886925689847,199.981436934695,11.802611743286905,-101.56589321004626,-129.07116093208816,-56.12344989804707,72.86827231111553,13.541300834668398,-42.61129760742176,-73.24346923828125,-181.1415100097658,0.051410415326682696,-0.9764563997558718,-0.2094990896680437,-0.9383886885171114,0.02455117535958823,-0.3447084406445513,0.3417362118053535,0.21431318009927397,-0.9150334542390582,-0.2130762647801991,-0.36625133992911196,-0.9057916213939322,0.20599443525490424,-1.77265924424426,-2.2527167276364115,-0.9795389882989972,1.2717912720687838,0.23634028456801986,-0.04261129760742176,-0.07324346923828125,-0.1811415100097658
Target_008,-162.78701794395346,61.599275842551144,199.90525380443222,13.23430085130598,-98.11523624732038,-119.768217873634,-113.62832950945925,85.78776094964854,22.29818783652017,-167.96929931640636,-52.036891937255874,-95.08200073242205,0.09321399817975609,-0.540063345385449,-0.8364464917222272,-0.9259747114580087,0.2617138978680205,-0.2721702948578059,0.36589887166210566,0.799898380192012,-0.4756896016128514,-0.8402445464526467,-0.26030777554332657,-0.4756353268505939,0.23098212405477783,-1.7124339188878261,-2.090349741140835,-1.9831884734810972,1.4972788864851845,0.38917679497542806,-0.16796929931640636,-0.05203689193725587,-0.09508200073242204
Target_009,-173.87806379785638,34.92011577936695,199.93019382753485,13.464048218661473,-98.92339931226604,-126.26539226905874,-80.01145752701662,93.77461890800689,19.073626938937807,-113.7941284179688,-12.205150604248114,-163.9329528808595,-0.07499298791148984,-0.81491721623284,-0.5747051265226594,-0.9876547532535338,0.1401854589777914,-0.06990082593852259,0.1375286884246658,0.5623681781346672,-0.8153697885509903,-0.5691692997413421,-0.06104706032934978,-0.8199509525923455,0.23499197206292013,-1.7265390252641366,-2.203746826417269,-1.3964633731660399,1.6366758547476496,0.33289759038155214,-0.1137941284179688,-0.012205150604248115,-0.1639329528808595
Target_010,165.0737413247993,42.44099131824604,199.95995539746286,14.270859915678251,-97.60872171688408,-126.16467482567519,-83.76712763101126,108.42711319080713,20.039794053140003,-130.3859863281249,34.75702285766599,-147.56499481201172,-0.2189813389914665,-0.7381036259998002,-0.6381615864806118,-0.9753645429536423,0.1477138821587074,0.16384327073894747,-0.026667986844473274,0.6583188029393894,-0.7522666895284628,-0.6520604891562166,0.17381991703578362,-0.7379727331839766,0.24907349261946582,-1.7035935726225195,-2.201988975416035,-1.4620121820994643,1.892410123612159,0.3497603876488726,-0.1303859863281249,0.034757022857665985,-0.1475649948120117
Target_011,-59.8660375816916,19.173620665725863,199.9730295083852,11.888139701344652,-108.01881086642865,-129.6913937690993,-26.640120322211146,72.85042395296647,2.973259761598973,32.9716491699221,-56.80145263671877,-188.88006210327143,0.11769908336760225,-0.9812241693484013,0.15279415977375008,-0.950390034289963,-0.1559142214150102,-0.26916451898954674,0.28793351402146483,-0.11353362958652918,-0.9508966328976876,0.16488048038767922,-0.28404556742656634,-0.9445276823960472,0.20748717972551955,-1.8852839037082088,-2.2635418327712413,-0.46495781275003717,1.2714797594530074,0.05189317235696374,0.0329716491699221,-0.05680145263671877,-0.18888006210327143
