layout,targets,mean_error_mm,rmse_error_mm,max_error_mm
corner_150,841,2.6999371901403464e-14,3.358580873319017e-14,1.3877787807814457e-13
inset_130,841,2.5926765238752538e-14,3.2667511202808876e-14,1.4438902883526792e-13
inset_110,841,2.377279066699823e-14,3.0294303957018287e-14,1.4152622167509189e-13
inset_090,841,2.6118639355848312e-14,3.2808485477764156e-14,1.2412670766236365e-13
inset_070,841,2.4943458123824333e-14,3.1506275566095186e-14,1.4152622167509189e-13
