layout,target_name,sensor_id,contact_x_m,contact_y_m,sensor_x_m,sensor_y_m,Fx,Fy,Fz,Tx,Ty,Tz,weight,force_mag_N,centroid_error_mm,ls_error_mm
corner_150,Target_001,1,-0.14,-0.14,-0.15,-0.15,0.0,0.0,-9.94095416718141,-0.09940954167181391,0.09940954167181391,0.0,0.9940954167181411,9.94095416718141,12.638835866556006,2.7755575615628914e-14
corner_150,Target_001,2,-0.14,-0.14,0.15,-0.15,0.0,0.0,-0.023612717736772853,-0.00023612717736772807,-0.0068476881436641285,-0.0,0.0023612717736772853,0.023612717736772853,12.638835866556006,2.7755575615628914e-14
corner_150,Target_001,3,-0.14,-0.14,0.15,0.15,0.0,0.0,-0.011820397345043247,0.003427915230062542,-0.003427915230062542,0.0,0.0011820397345043247,0.011820397345043247,12.638835866556006,2.7755575615628914e-14
corner_150,Target_001,4,-0.14,-0.14,-0.15,0.15,0.0,0.0,-0.023612717736772853,0.0068476881436641285,0.00023612717736772807,0.0,0.0023612717736772853,0.023612717736772853,12.638835866556006,2.7755575615628914e-14
corner_150,Target_002,1,-0.13,-0.14,-0.15,-0.15,0.0,0.0,-9.848689563425367,-0.09848689563425349,0.19697379126850725,0.0,0.9848689563425368,9.848689563425367,18.70996060726482,8.326672684688674e-14
corner_150,Target_002,2,-0.13,-0.14,0.15,-0.15,0.0,0.0,-0.06273050677340988,-0.0006273050677340976,-0.017564541896554767,-0.0,0.0062730506773409885,0.06273050677340988,18.70996060726482,8.326672684688674e-14
corner_150,Target_002,3,-0.13,-0.14,0.15,0.15,0.0,0.0,-0.030303660195154927,0.00878806145659493,-0.008485024854643381,0.0,0.0030303660195154926,0.030303660195154927,18.70996060726482,8.326672684688674e-14
corner_150,Target_002,4,-0.13,-0.14,-0.15,0.15,0.0,0.0,-0.05827626960606718,0.016900118185759483,0.0011655253921213431,0.0,0.005827626960606718,0.05827626960606718,18.70996060726482,8.326672684688674e-14
corner_150,Target_003,1,-0.12,-0.14,-0.15,-0.15,0.0,0.0,-9.691493002359739,-0.0969149300235972,0.2907447900707921,0.0,0.9691493002359739,9.691493002359739,24.62341781170562,3.925231146709438e-14
corner_150,Target_003,2,-0.12,-0.14,0.15,-0.15,0.0,0.0,-0.13276017811451687,-0.0013276017811451662,-0.03584524809091956,-0.0,0.013276017811451686,0.13276017811451687,24.62341781170562,3.925231146709438e-14
corner_150,Target_003,3,-0.12,-0.14,0.15,0.15,0.0,0.0,-0.06172925479210021,0.017901483889709063,-0.01666689879386706,0.0,0.006172925479210021,0.06172925479210021,24.62341781170562,3.925231146709438e-14
corner_150,Target_003,4,-0.12,-0.14,-0.15,0.15,0.0,0.0,-0.11401756473364388,0.03306509377275673,0.0034205269420093166,0.0,0.011401756473364388,0.11401756473364388,24.62341781170562,3.925231146709438e-14
corner_150,Target_004,1,-0.11,-0.14,-0.15,-0.15,0.0,0.0,-9.46831840956976,-0.09468318409569741,0.3787327363827903,0.0,0.9468318409569759,9.46831840956976,29.707674993017026,3.925231146709438e-14
corner_150,Target_004,2,-0.11,-0.14,0.15,-0.15,0.0,0.0,-0.23775688768491254,-0.002377568876849121,-0.06181679079807726,-0.0,0.023775688768491253,0.23775688768491254,29.707674993017026,3.925231146709438e-14
corner_150,Target_004,3,-0.11,-0.14,0.15,0.15,0.0,0.0,-0.10610508435246263,0.030770474462214165,-0.027587321931640284,0.0,0.010610508435246264,0.10610508435246263,29.707674993017026,3.925231146709438e-14
corner_150,Target_004,4,-0.11,-0.14,-0.15,0.15,0.0,0.0,-0.18781961839286557,0.05446768933393102,0.007512784735714622,0.0,0.018781961839286557,0.18781961839286557,29.707674993017026,3.925231146709438e-14
corner_150,Target_005,1,-0.1,-0.14,-0.15,-0.15,0.0,0.0,-9.180275102679646,-0.09180275102679629,0.4590137551339822,0.0,0.9180275102679646,9.180275102679646,33.82414519557734,2.7755575615628914e-14
corner_150,Target_005,2,-0.1,-0.14,0.15,-0.15,0.0,0.0,-0.3812893812614546,-0.003812893812614539,-0.09532234531536365,-0.0,0.03812893812614546,0.3812893812614546,33.82414519557734,2.7755575615628914e-14
corner_150,Target_005,3,-0.1,-0.14,0.15,0.15,0.0,0.0,-0.1628152473872242,0.04721642174229502,-0.04070381184680605,0.0,0.01628152473872242,0.1628152473872242,33.82414519557734,2.7755575615628914e-14
corner_150,Target_005,4,-0.1,-0.14,-0.15,0.15,0.0,0.0,-0.2756202686716751,0.07992987791478579,0.013781013433583752,0.0,0.02756202686716751,0.2756202686716751,33.82414519557734,2.7755575615628914e-14
corner_150,Target_006,1,-0.09,-0.14,-0.15,-0.15,0.0,0.0,-8.830602452815114,-0.08830602452815098,0.5298361471689068,0.0,0.8830602452815114,8.830602452815114,36.99118228711494,0.0
