layout,targets,mean_error_mm,rmse_error_mm,max_error_mm,average_transmission_efficiency
corner_150,841,0.17435568838117407,0.2207344418749146,0.8611957606362792,0.3679188686577674
inset_130,841,0.13968312740253055,0.1791347640190649,0.874768404688464,0.43307898183035726
inset_110,841,0.1098252524801912,0.13652385752643426,0.4947094904590927,0.49712145200029795
inset_090,841,0.09681509831889182,0.11431495867603436,0.3657699150664421,0.5502756446936011
inset_070,841,0.1086958002520124,0.13430689478095031,0.6985419480055216,0.5855380217842299
