seed,trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N
82093048,1,0,Line_T01_0000,0.0,3.2831035266120403,-0.00582561180647051,-0.11796079537233825,0.0,-5.82561180647051,-117.96079537233825,0.0,1.6704634120085897,1.1708322224959282
82093048,1,1,Line_T01_0001,0.01989759713098206,3.2831035266120403,-0.00626362111244489,-0.11701509089543735,0.0,-6.2636211124448895,-117.01509089543735,0.0,1.6704634120085897,1.246824413832369
82093048,1,2,Line_T01_0002,0.03979519426196412,3.2831035266120403,-0.00670163041841927,-0.11606938641853648,0.0,-6.70163041841927,-116.06938641853648,0.0,1.6704634120085897,1.3429405210140668
82093048,1,3,Line_T01_0003,0.059692791392946185,3.2831035266120403,-0.007139639724393649,-0.11512368194163558,0.0,-7.139639724393649,-115.12368194163558,0.0,1.6704634120085897,1.3605389138149264
82093048,1,4,Line_T01_0004,0.07959038852392825,3.2831035266120403,-0.00757764903036803,-0.1141779774647347,0.0,-7.57764903036803,-114.1779774647347,0.0,1.6704634120085897,1.2736440847300676
82093048,1,5,Line_T01_0005,0.09948798565491031,3.2831035266120403,-0.00801565833634241,-0.11323227298783381,0.0,-8.01565833634241,-113.23227298783381,0.0,1.6704634120085897,1.2121737746122079
82093048,1,6,Line_T01_0006,0.11938558278589237,3.2831035266120403,-0.00845366764231679,-0.11228656851093292,0.0,-8.45366764231679,-112.28656851093292,0.0,1.6704634120085897,1.226706500128318
82093048,1,7,Line_T01_0007,0.13928317991687444,3.2831035266120403,-0.008891676948291169,-0.11134086403403202,0.0,-8.891676948291169,-111.34086403403202,0.0,1.6704634120085897,1.2682181372324162
82093048,1,8,Line_T01_0008,0.1591807770478565,3.2831035266120403,-0.00932968625426555,-0.11039515955713115,0.0,-9.32968625426555,-110.39515955713115,0.0,1.6704634120085897,1.227683099357565
82093048,1,9,Line_T01_0009,0.17907837417883854,3.2831035266120403,-0.009767695560239929,-0.10944945508023025,0.0,-9.767695560239929,-109.44945508023025,0.0,1.6704634120085897,1.2553977926412743
82093048,1,10,Line_T01_0010,0.19897597130982062,3.2831035266120403,-0.010205704866214308,-0.10850375060332938,0.0,-10.205704866214308,-108.50375060332938,0.0,1.6704634120085897,1.5287635746617112
82093048,1,11,Line_T01_0011,0.2188735684408027,3.2831035266120403,-0.010643714172188689,-0.10755804612642848,0.0,-10.64371417218869,-107.55804612642848,0.0,1.6704634120085897,1.6688321495203498
82093048,1,12,Line_T01_0012,0.23877116557178474,3.2831035266120403,-0.01108172347816307,-0.1066123416495276,0.0,-11.08172347816307,-106.6123416495276,0.0,1.6704634120085897,1.6492777564477774
82093048,1,13,Line_T01_0013,0.2586687627027668,3.2831035266120403,-0.01151973278413745,-0.10566663717262671,0.0,-11.519732784137451,-105.66663717262671,0.0,1.6704634120085897,1.6653894730578787
82093048,1,14,Line_T01_0014,0.2785663598337489,3.2831035266120403,-0.011957742090111832,-0.10472093269572581,0.0,-11.957742090111832,-104.7209326957258,0.0,1.6704634120085897,1.5633535188458083
82093048,1,15,Line_T01_0015,0.29846395696473094,3.2831035266120403,-0.012395751396086209,-0.10377522821882491,0.0,-12.39575139608621,-103.7752282188249,0.0,1.6704634120085897,1.6810582740993296
82093048,1,16,Line_T01_0016,0.318361554095713,3.2831035266120403,-0.01283376070206059,-0.10282952374192404,0.0,-12.833760702060589,-102.82952374192404,0.0,1.6704634120085897,1.7172885948403704
82093048,1,17,Line_T01_0017,0.33825915122669503,3.2831035266120403,-0.013271770008034969,-0.10188381926502314,0.0,-13.271770008034968,-101.88381926502315,0.0,1.6704634120085897,1.8171901718020964
82093048,1,18,Line_T01_0018,0.3581567483576771,3.2831035266120403,-0.013709779314009348,-0.10093811478812226,0.0,-13.709779314009348,-100.93811478812226,0.0,1.6704634120085897,1.8345201147718375
82093048,1,19,Line_T01_0019,0.3780543454886592,3.2831035266120403,-0.014147788619983729,-0.09999241031122137,0.0,-14.147788619983729,-99.99241031122138,0.0,1.6704634120085897,1.9221155392210534
82093048,1,20,Line_T01_0020,0.39795194261964123,3.2831035266120403,-0.014585797925958108,-0.09904670583432049,0.0,-14.585797925958108,-99.04670583432049,0.0,1.6704634120085897,1.969478002782819
82093048,1,21,Line_T01_0021,0.4178495397506233,3.2831035266120403,-0.01502380723193249,-0.0981010013574196,0.0,-15.02380723193249,-98.1010013574196,0.0,1.6704634120085897,1.7982792614095817
