trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad
1,0,Line_T01_0000,0.0,3.2831035266120403,-0.00582561180647051,-0.11796079537233825,0.0,-5.82561180647051,-117.96079537233825,0.0,1.6704634120085897,1.1708322224959282,-2.049547831436258,-107.2318560397823,-128.8859664067308,-33.882177553486756,90.0,-2.0495478314363025,-0.035771357835672445,-1.8715489509187688,-2.2494844734122577,-0.591355556053661,1.5707963267948966,-0.03577135783567322
1,1,Line_T01_0001,0.01989759713098206,3.2831035266120403,-0.00626362111244489,-0.11701509089543735,0.0,-6.2636211124448895,-117.01509089543735,0.0,1.6704634120085897,1.246824413832369,-1.9305559684020464,-107.1659503303635,-128.98950165801944,-33.84454801161704,90.0,-1.930555968402088,-0.03369455804264332,-1.870398679293548,-2.251291504439124,-0.5906987966520175,1.5707963267948966,-0.03369455804264405
1,2,Line_T01_0002,0.03979519426196412,3.2831035266120403,-0.00670163041841927,-0.11606938641853648,0.0,-6.70163041841927,-116.06938641853648,0.0,1.6704634120085897,1.3429405210140668,-1.8112575143531051,-107.10014694846996,-129.09277321942736,-33.80707983210271,90.0,-1.8112575143531464,-0.031612407226950134,-1.8692501936205583,-2.253093933209368,-0.590044853554764,1.5707963267948966,-0.031612407226950856
1,3,Line_T01_0003,0.059692791392946185,3.2831035266120403,-0.007139639724393649,-0.11512368194163558,0.0,-7.139639724393649,-115.12368194163558,0.0,1.6704634120085897,1.3605389138149264,-1.691652101797904,-107.03444632960351,-129.19578055410742,-33.76977311628907,90.0,-1.6916521017979456,-0.02952489897465571,-1.868103501500741,-2.2548917503532384,-0.5893937285307103,1.5707963267948966,-0.029524898974656436
1,4,Line_T01_0004,0.07959038852392825,3.2831035266120403,-0.00757764903036803,-0.1141779774647347,0.0,-7.57764903036803,-114.1779774647347,0.0,1.6704634120085897,1.2736440847300676,-1.5717393703279454,-106.96884891514145,-129.29852312055746,-33.732627964301095,90.0,-1.571739370327987,-0.027432026995445113,-1.8669586106375828,-2.2566849464197407,-0.5887454233273663,1.5707963267948966,-0.02743202699544584
1,5,Line_T01_0005,0.09948798565491031,3.2831035266120403,-0.00801565833634241,-0.11323227298783381,0.0,-8.01565833634241,-113.23227298783381,0.0,1.6704634120085897,1.2121737746122079,-1.451518966722556,-106.90335515236723,-129.40100037263323,-33.69564447499955,90.0,-1.4515189667225978,-0.02533378512445461,-1.8658155288376526,-2.258473511876859,-0.5880999396701783,1.5707963267948966,-0.02533378512445534
1,6,Line_T01_0006,0.11938558278589237,3.2831035266120403,-0.00845366764231679,-0.11228656851093292,0.0,-8.45366764231679,-112.28656851093292,0.0,1.6704634120085897,1.226706500128318,-1.3309905450546606,-106.83796549450122,-129.50321175956176,-33.65882274593701,90.0,-1.330990545054702,-0.02323016732411776,-1.864674264011138,-2.260257437111792,-0.5874572792617596,1.5707963267948966,-0.023230167324118478
1,7,Line_T01_0007,0.13928317991687444,3.2831035266120403,-0.008891676948291169,-0.11134086403403202,0.0,-8.891676948291169,-111.34086403403202,0.0,1.6704634120085897,1.2682181372324162,-1.2101537667969338,-106.77268040073186,-129.60515672595488,-33.622162873313265,90.0,-1.2101537667969753,-0.021121167686018127,-1.8635348241723895,-2.262036712431187,-0.5868174437811136,1.5707963267948966,-0.021121167686018853
1,8,Line_T01_0008,0.1591807770478565,3.2831035266120403,-0.00932968625426555,-0.11039515955713115,0.0,-9.32968625426555,-110.39515955713115,0.0,1.6704634120085897,1.227683099357565,-1.0890083009288856,-106.7075003362463,-129.70683471182275,-33.58566495193094,90.0,-1.0890083009289269,-0.019006780432758275,-1.8623972174404542,-2.263811328061377,-0.5861804348828579,1.5707963267948966,-0.019006780432758996
1,9,Line_T01_0009,0.17907837417883854,3.2831035266120403,-0.009767695560239929,-0.10944945508023025,0.0,-9.767695560239929,-109.44945508023025,0.0,1.6704634120085897,1.2553977926412743,-0.9675538240446167,-106.64242577226123,-129.80824515258809,-33.54932907515067,90.0,-0.967553824044658,-0.01688699991984044,-1.8612614520396151,-2.265581274148631,-0.5855462541964433,1.5707963267948966,-0.01688699991984116
1,10,Line_T01_0010,0.19897597130982062,3.2831035266120403,-0.010205704866214308,-0.10850375060332938,0.0,-10.205704866214308,-108.50375060332938,0.0,1.6704634120085897,1.5287635746617112,-0.8457900204611113,-106.57745718605376,-129.90938747910016,-33.51315533484606,90.0,-0.8457900204611527,-0.0147618206375566,-1.860127536299929,-2.267346540759394,-0.5849149033253666,1.5707963267948966,-0.014761820637557323
