trial,sample,time_s,true_force_N,measured_force_sum_N,predicted_force_sum_N,force_rmse_N,torque_rmse_Nm
1,0,0.0,1.1708322224959282,0.6080339914195375,0.6064308493669912,0.004051033974830699,1.8931117380389502e-05
1,1,0.019897597130982,1.246824413832369,0.6353008680982506,0.6491909650340882,0.006526971322198359,1.8653549058861635e-05
1,2,0.0397951942619641,1.3429405210140668,0.7030760977164766,0.7028616267983562,0.004907752528482718,2.2583873202535527e-05
1,3,0.0596927913929461,1.3605389138149264,0.7409788918981379,0.7157074037590742,0.005417093037692446,1.726694591413138e-05
1,4,0.0795903885239282,1.2736440847300676,0.66980484410842,0.6733641280035926,0.005160538584658311,2.358629360435009e-05
1,5,0.0994879856549103,1.212173774612208,0.6387084667781561,0.6440361672797995,0.003376215999656743,1.7624569278062965e-05
1,6,0.1193855827858923,1.226706500128318,0.6734027987196303,0.6549315439126464,0.004898714083038748,1.470307713916373e-05
1,7,0.1392831799168744,1.2682181372324162,0.6847640040531878,0.6803395522013563,0.004195110907345451,2.809499796136591e-05
1,8,0.1591807770478565,1.227683099357565,0.673457264974637,0.6617005025426917,0.004413346836977203,1.6759780163220515e-05
1,9,0.1790783741788385,1.2553977926412745,0.6660665348627185,0.6797780579686584,0.006360953781494708,2.0757136980610517e-05
1,10,0.1989759713098206,1.5287635746617112,0.8126357693693013,0.8315801729198614,0.004174754056300701,1.710665133208685e-05
1,11,0.2188735684408027,1.6688321495203498,0.8997110125793262,0.9118473808019439,0.004973220194239196,1.8164276574436107e-05
1,12,0.2387711655717847,1.6492777564477774,0.8941300300214137,0.9051424441395958,0.00503502681816578,2.8090645043018857e-05
1,13,0.2586687627027668,1.6653894730578789,0.9040057899123423,0.9179536690947433,0.005151190378429797,2.1816909681451107e-05
1,14,0.2785663598337489,1.5633535188458083,0.8593033207576654,0.86539105003333,0.004365224733056042,2.2915186788781704e-05
1,15,0.2984639569647309,1.6810582740993296,0.9329376268504309,0.9344518293860113,0.004937417127103293,1.7140777283105114e-05
1,16,0.318361554095713,1.7172885948403704,0.9632766057925238,0.9585291397803768,0.0045730259287347814,2.1884271755210568e-05
1,17,0.338259151226695,1.8171901718020964,1.0002993030068874,1.0184025655821096,0.005320094192736047,2.5305633828429143e-05
1,18,0.3581567483576771,1.8345201147718373,1.0302349401478252,1.0322100594451236,0.0062270200923768325,1.3898646423003157e-05
1,19,0.3780543454886592,1.9221155392210532,1.0802005397259595,1.0857286069842145,0.00512838167562702,2.5234503800008014e-05
1,20,0.3979519426196412,1.969478002782819,1.1381362673482238,1.116757890129916,0.004139699477852252,1.8499618705999086e-05
1,21,0.4178495397506233,1.7982792614095815,1.005419388319539,1.0235317036082603,0.006042511372855981,1.8177848874615137e-05
1,22,0.4377471368816054,1.8227182039314336,1.03214985826987,1.0412868138616609,0.004121383627337087,2.2482418606309998e-05
1,23,0.4576447340125874,1.961142139700159,1.1355835842335913,1.1244424411137217,0.0035983586747127478,1.7816609938371396e-05
1,24,0.4775423311435695,1.831703123327612,1.0388525633401509,1.0539777616811594,0.00547014123012414,2.1847475594550866e-05
1,25,0.4974399282745515,1.7742268519205713,1.014715506067232,1.0244831846993916,0.005200951206728066,1.6671312060834347e-05
1,26,0.5173375254055336,1.744812108712,1.009040616261041,1.0109624739363305,0.005348073729791141,1.909246273270728e-05
1,27,0.5372351225365156,1.7010686289924446,1.0005328427730003,0.9889412160087999,0.0048722742549161995,2.053693268339152e-05
1,28,0.5571327196674978,1.6554221339779258,0.9788438457063274,0.9655871929810895,0.005320000031370615,1.8260614015618872e-05
1,29,0.5770303167984798,1.6083101609340849,0.9379229305366052,0.9411496779160636,0.005122747370261439,1.8346905996532635e-05
1,30,0.5969279139294619,1.553638218604615,0.9124181849795107,0.9120470169267139,0.004299255246130688,2.2649967268699242e-05
1,31,0.6168255110604439,1.5373083796901554,0.9049002054901968,0.9052723988024545,0.004643598600230086,2.1480856348814167e-05
1,32,0.636723108191426,1.4816132939355846,0.8753730923292435,0.8751386135477977,0.004252344488166188,1.765403755611826e-05
1,33,0.656620705322408,1.5178333598878908,0.8923782517389641,0.8992133337391107,0.005064718084834646,2.0624959795700797e-05
1,34,0.6765183024533901,1.6690788306996778,0.9854955235451796,0.9917115011829846,0.006083632753147635,1.0056159475819093e-05
1,35,0.6964158995843721,1.7418555833238183,1.035004370543336,1.0379200912174107,0.005022733708098188,2.212571104615027e-05
1,36,0.7163134967153542,1.840769244989713,1.1007704911471796,1.0999375650984282,0.004318827819272272,2.6944214043353108e-05
1,37,0.7362110938463363,1.7727033327598734,1.0610308393991326,1.0621736303689167,0.002849760663514763,1.5755587382934654e-05
1,38,0.7561086909773184,1.9544996506542,1.1701156181860586,1.1742481880290323,0.00625806628711511,1.8791072924305334e-05
1,39,0.7760062881083004,1.957062615787375,1.182320980053796,1.1788761070992875,0.003968202703588829,2.3990484050605634e-05
1,40,0.7959038852392825,2.0704393433210324,1.246778212918569,1.2503730709732843,0.004021591156865955,1.8312182601584434e-05
1,41,0.8158014823702645,2.095686992153509,1.2777360008417165,1.268796292069311,0.004578370811499563,1.9944715893712327e-05
1,42,0.8356990795012466,2.1401023870571354,1.2930644910870697,1.2988630400100676,0.004911096159414404,2.3491785193096092e-05
1,43,0.8555966766322286,2.042944252227318,1.258010786787545,1.2428645521751462,0.005736482980351557,1.5082303534425329e-05
1,44,0.8754942737632108,2.003293300052523,1.232910417435416,1.2215905606691884,0.006099437765649959,1.4845387250818988e-05
1,45,0.8953918708941928,1.9959402162297772,1.2250700743345806,1.2198827153921705,0.004362501579749047,1.9844048752344408e-05
1,46,0.9152894680251747,1.8518431547707508,1.1263483823542195,1.1343313968206585,0.004573682206162311,1.918937467036478e-05
1,47,0.9351870651561568,1.8694173010425628,1.135780668754245,1.1475806198052774,0.004610336874844875,2.0803795616990534e-05
1,48,0.955084662287139,1.9191941608811725,1.1574690654889712,1.1806284778683493,0.0049198474009631,1.891161336000466e-05
1,49,0.974982259418121,1.8243536778315617,1.1176857332921968,1.124597656102062,0.0038121602794920282,1.7317617164181116e-05
1,50,0.994879856549103,1.987444697892034,1.2180630352684751,1.2275907123260832,0.004829418687223177,1.7062432617212348e-05
1,51,1.014777453680085,1.8948626201140089,1.1704825254824314,1.1726907054585016,0.004005375867720416,2.1575766584260347e-05
1,52,1.0346750508110671,1.9012377271403171,1.1927474029961807,1.1788713219134255,0.0051345922734193075,2.645526066388469e-05
1,53,1.0545726479420492,1.7440760739696186,1.0820164385529558,1.0834199792672723,0.004730271269289649,1.949529208946271e-05
1,54,1.0744702450730312,1.7331547550476083,1.0697201054569472,1.0785681874601063,0.0063778213741900545,2.040992899242272e-05
1,55,1.0943678422040133,1.707218422931163,1.047516077434729,1.0642797752414763,0.004568968579192928,1.763934272558091e-05
1,56,1.1142654393349956,1.702284698056303,1.0684630303034006,1.0629997914132887,0.006044042106716313,2.326538317983406e-05
1,57,1.1341630364659776,1.6692553404985877,1.0625032594982147,1.044085403742722,0.006809255787053665,2.1319048584348733e-05
1,58,1.1540606335969597,1.7903329390287497,1.1313233415937058,1.1215987473467375,0.004594747986227029,1.9472508098072706e-05
1,59,1.1739582307279417,1.8076554409064909,1.136429947227977,1.1341962874805132,0.0033646057056669065,2.124808331099974e-05
1,60,1.1938558278589235,1.7720854452734234,1.1268434725137113,1.1135370381544625,0.0060702469825862585,1.9859129710063055e-05
1,61,1.2137534249899058,1.6927609585754362,1.0560457423068499,1.065226246846476,0.005873222846685047,1.9531750410444314e-05
1,62,1.2336510221208878,1.6280032451745363,1.036225498916445,1.0259038866779315,0.0044241056493983175,2.3782826667855328e-05
1,63,1.25354861925187,1.6520093193850167,1.0365547602460723,1.0424332224893305,0.004329654099844041,1.978269007688078e-05
1,64,1.273446216382852,1.5636076386627666,1.0009011650006516,0.9879323887611349,0.005223141657839998,2.6295520120031966e-05
1,65,1.293343813513834,1.5808560174592747,1.0015898581058535,1.000080552280111,0.004582336649978647,2.632061874666243e-05
1,66,1.313241410644816,1.6938427649385008,1.0547005373914191,1.0728492623036565,0.006755290089730392,2.72581754255314e-05
1,67,1.333139007775798,1.7273463612978348,1.0973887628711951,1.095337360325864,0.005245648701131904,1.864805981110438e-05
1,68,1.35303660490678,1.7356981907173874,1.123625995688235,1.1018580179762871,0.0056130246028942765,1.5284265588931955e-05
1,69,1.3729342020377622,1.6944130364046062,1.0769167196457932,1.076797266786381,0.0048690218923269695,1.752299118002552e-05
1,70,1.3928317991687442,1.691544122184487,1.0615251349057329,1.076072891973343,0.004601762567845807,1.929424829228408e-05
1,71,1.4127293962997265,1.8518319709338344,1.1789342290775005,1.1791913569813788,0.0049403865473869315,1.4585938924527434e-05
1,72,1.4326269934307083,1.7983452175134975,1.1528528843796437,1.1462014532343372,0.00382164670959806,2.2684282639968648e-05
1,73,1.4525245905616906,1.882510752584758,1.1928265434477765,1.200913012695966,0.005069685282337993,1.562219870958442e-05
1,74,1.4724221876926726,1.89079570402176,1.2078627790267928,1.207219056361061,0.004260238592031119,2.143170132303773e-05
1,75,1.492319784823655,1.9558882818198011,1.253283836218939,1.249782060760231,0.004608272989769492,1.9597998176648486e-05
1,76,1.5122173819546367,1.8753710319910075,1.1946072057534574,1.1992445900151336,0.004574934600556928,1.6144159021449942e-05
1,77,1.5321149790856188,1.8809426289751296,1.2171996594662873,1.2036720401208132,0.0040733582699654155,1.7147650391827956e-05
1,78,1.5520125762166008,1.9585498101019088,1.2386634824884564,1.2541838893229578,0.006047616068349472,1.683681331416491e-05
1,79,1.5719101733475829,1.959882398529746,1.2548053069440923,1.2558352690773034,0.0037776134469603008,1.8416482360672646e-05
1,80,1.591807770478565,1.8994967409854624,1.2192079326446994,1.2178661314225878,0.004412342684740584,2.093373153855268e-05
1,81,1.611705367609547,1.8997508155846992,1.2217079014297396,1.218704528188073,0.005814909298786986,2.1134751140535118e-05
1,82,1.631602964740529,1.801364613038731,1.156415578165727,1.156183643977881,0.005202138892535278,1.847358150357677e-05
1,83,1.651500561871511,1.7508282994220865,1.1157744939513732,1.1242812331970886,0.004232708260246955,1.5688282665413272e-05
1,84,1.6713981590024931,1.7942019986996802,1.143697667521336,1.1526353231797948,0.004596337762149542,2.2943282075802305e-05
1,85,1.6912957561334752,1.7162065444679238,1.0896836113559,1.1029668947283549,0.005068555206291635,1.8758205774515902e-05
1,86,1.7111933532644572,1.7920973414587469,1.1601507994708415,1.1521530631843808,0.0036067952659358383,1.8074932958940897e-05
1,87,1.7310909503954393,1.9236107800100088,1.2372134305980618,1.2371003880990994,0.005146535368300015,1.3842542203866673e-05
1,88,1.7509885475264215,1.886439386246923,1.2278810645171379,1.213538125575842,0.004289141236699347,1.880954652464253e-05
1,89,1.7708861446574036,1.8645851500652368,1.2137467546327216,1.1997740470168845,0.0055688143877849015,1.6889629796257728e-05
1,90,1.7907837417883856,2.0344584105662893,1.29902121276466,1.3093529957898031,0.005430024129247797,1.411046572304523e-05
1,91,1.810681338919368,2.0064745520231053,1.2936483423759146,1.29156557378943,0.005084723362589957,1.4036325209369465e-05
1,92,1.8305789360503495,1.999082747430302,1.283375172016532,1.2869829920097566,0.004672865193937667,2.667323683410502e-05
1,93,1.850476533181332,1.9506910045953727,1.2822309379774992,1.2559555718867839,0.0053084842994171174,2.489162456945221e-05
1,94,1.8703741303123136,1.9495955052588667,1.2427298605945927,1.2553324822152656,0.0038222418068397253,2.1998004435067875e-05
1,95,1.890271727443296,1.9354458755044128,1.2477177351392217,1.2462598493927475,0.004309984800541663,1.9306911359675837e-05
1,96,1.910169324574278,1.9071149064968689,1.2512179473670642,1.2280125012721932,0.006525634606581794,2.3425966307926406e-05
1,97,1.93006692170526,1.9245479424612009,1.2534105393819919,1.2391909026897125,0.00602014500649558,1.48746338349185e-05
1,98,1.949964518836242,1.9416944973643,1.2522452293588517,1.2501418784010858,0.002642784634251268,2.8233912511172122e-05
1,99,1.969862115967224,1.97546128794686,1.26028476510451,1.271748932308882,0.006975775840864445,1.518351986917117e-05
1,100,1.989759713098206,1.9057119829365132,1.206233033457235,1.226677147205486,0.00565363978641175,1.9304426350565306e-05
1,101,2.0096573102291884,1.7977176760351017,1.1418865485962946,1.156965772305628,0.005611908705018167,2.044584146644032e-05
1,102,2.02955490736017,1.8510639149508252,1.189465359550519,1.1910568018324617,0.005324726171148447,1.9323495531982175e-05
1,103,2.0494525044911525,1.928525612477711,1.2603064834486934,1.2406083289717107,0.005811681819808033,2.0432040397089896e-05
1,104,2.0693501016221343,1.9986027283420704,1.2931358389162442,1.2853468180637986,0.004125626431308128,1.5276458168523843e-05
1,105,2.089247698753117,2.086281958312433,1.3361577750914164,1.3413370760607775,0.004524096401437877,2.4408559212349334e-05
1,106,2.1091452958840984,1.976496294626285,1.283823723660172,1.270336194808777,0.0045138122980743324,1.776749020777917e-05
1,107,2.1290428930150807,1.9421675902154385,1.2485573811329975,1.2478257228403922,0.004998554815536565,1.7288446519620592e-05
1,108,2.1489404901460625,1.904641225355851,1.2301782832762476,1.2232407878701954,0.004104039339736278,1.9539481812739317e-05
1,109,2.1688380872770447,1.8789066138140509,1.2100192859326528,1.206209220748463,0.006861967578678491,2.1249958979200248e-05
1,110,2.1887356844080266,1.885235372930256,1.2138679827442886,1.209731503601989,0.004322635103419283,1.737749345054583e-05
1,111,2.208633281539009,1.931381079999436,1.2478011406649407,1.2387531827341782,0.005580493045193974,1.4729642813649031e-05
1,112,2.228530878669991,1.810570384046424,1.19247747768409,1.1606818971659303,0.0056140498131635914,3.0313234550938516e-05
1,113,2.248428475800973,1.8310720234522533,1.1552898410440773,1.1731997193958446,0.0039512909929305135,1.5551687997918612e-05
1,114,2.268326072931955,1.79649641607652,1.1385318694107665,1.1504016235375778,0.005244054847026107,2.432968625306586e-05
1,115,2.288223670062937,1.863890433371003,1.2061649284533555,1.1928563458154053,0.005464498087086208,2.1520953947906932e-05
1,116,2.3081212671939197,1.8285703976574208,1.182167458952186,1.1695323960585555,0.004478696794002053,1.8840198644342304e-05
1,117,2.328018864324901,1.828055213053872,1.1491726397931756,1.1684523232416657,0.006158372490927566,1.3970027794781842e-05
1,118,2.3479164614558834,1.7610098360173063,1.141366112497319,1.12484591338624,0.00588471236240161,2.6521361633117856e-05
1,119,2.367814058586865,1.7155499529591711,1.106913335165296,1.0950470307030047,0.005869894721114893,1.0972413658900097e-05
1,120,2.3877116557178475,1.702213359468101,1.0688845250584016,1.085751073656078,0.0062485915470980175,1.713017156499665e-05
1,121,2.4076092528488293,1.836856413623184,1.1793051256816043,1.1707581796176336,0.004148300472317511,1.496193686018732e-05
1,122,2.427506849979812,1.883242908430612,1.1961945142164703,1.1993971964967631,0.005245074105071088,1.8961116561383955e-05
1,123,2.4474044471107934,1.9129766630896656,1.220951060709746,1.217363177553724,0.004757785959558278,1.3415351517654929e-05
1,124,2.467302044241776,1.8640253202239567,1.1881929100655078,1.1852373353124612,0.006429466581546898,2.025344826687088e-05
1,125,2.487199641372757,1.8264992898807444,1.1662917916867142,1.1603937915525098,0.0034306301311586808,2.389378823526502e-05
1,126,2.50709723850374,1.8651267856467264,1.176058721544956,1.1839028965992278,0.005739916997395297,3.2624316562265345e-05
1,127,2.5269948356347216,1.861514741636715,1.1975603594946453,1.1805533405356763,0.006766428350560799,2.7217438968836914e-05
1,128,2.546892432765704,1.882481395808244,1.1741949705807335,1.1927541145430651,0.004718139564100462,2.0127232760836022e-05
