trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.4190201396848798,6.6014964341617635,0.0018594420323963658,0.028095787162193776
2,0.004850969873643813,0.021186550240712507,0.002113474784667683,0.00818578448833307
3,0.01203734711433041,0.04276900457851099,0.0017659912426871926,0.008746685376095797
4,0.005343251435965036,0.014646509344843657,0.0011986333503821675,0.00453223286273996
5,0.013052322177270514,0.043972469624741176,0.0016757295157549567,0.0065429193917587725
6,0.041869173941241435,0.24752731780911744,0.0018442198333338802,0.009302705603792205
7,0.01337049900100711,0.033327291083969944,0.0024247777838962824,0.0074438261513432025
8,0.007215189542264418,0.02731943313484129,0.0013551710191635439,0.007149887318952608
9,0.0036689636104153146,0.01086009914521507,0.0013718994198717027,0.005565559633978978
10,0.005908692908803077,0.026109395682912404,0.0011415704703359448,0.0038913443986743346
