trial,sample,time_s,target_name,contact_x_m,contact_y_m,sensor_id,weight,current_force_N,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,measured_force_sum_N,transmission_efficiency
1,0,0.0,Line_T01_0000,0.05907804488299609,-0.06740692828207132,1,0.09178294908665215,4.406303431632736,0.005844936552884734,-0.0017138155337081934,-0.24702608170615326,-0.006233680960584431,0.037140096737338514,-8.394450702695449e-06,2.6666900479074966,0.6051989131668507
1,0,0.0,Line_T01_0000,0.05907804488299609,-0.06740692828207132,2,0.5097971573624266,4.406303431632736,0.005421151613126911,0.0023990734059341425,-1.3527122092893236,-0.034674279077784156,-0.04593474598427104,-2.2481084739947075e-05,2.6666900479074966,0.6051989131668507
1,0,0.0,Line_T01_0000,0.05907804488299609,-0.06740692828207132,3,0.07206468028713751,4.406303431632736,-0.0023422289906498087,0.004104479903324958,-0.19373753761545512,0.03075258275330553,-0.006477238902681543,-1.2718587232655033e-05,2.6666900479074966,0.6051989131668507
1,0,0.0,Line_T01_0000,0.05907804488299609,-0.06740692828207132,4,0.012974337473192111,4.406303431632736,-0.005496820070733945,0.007648323752225096,-0.036512450378183084,0.00553163961311859,0.0052546064239237565,-2.8681714247029738e-05,2.6666900479074966,0.6051989131668507
1,0,0.0,Line_T01_0000,0.05907804488299609,-0.06740692828207132,5,0.31338087579059165,4.406303431632736,-0.0017780086082843601,-0.0038876720567427793,-0.8366875511685742,0.05624565841897595,0.04927073239153093,-2.0725548207181658e-05,2.6666900479074966,0.6051989131668507
1,1,0.019926396910285502,Line_T01_0001,0.058656010281370116,-0.06700017811996672,1,0.09235119934555366,4.17605234474117,0.005887130057647977,-0.001308699562103388,-0.2284077643484127,-0.006097662201590761,0.03537627953864998,-1.2165499072173366e-06,2.5150126370612425,0.6022464350161593
1,1,0.019926396910285502,Line_T01_0001,0.058656010281370116,-0.06700017811996672,2,0.5067090422647063,4.17605234474117,-0.01366903702653109,-0.012494204707075046,-1.2755673709707316,-0.03323084370483668,-0.043922836954715265,-2.822338809312548e-05,2.5150126370612425,0.6022464350161593
1,1,0.019926396910285502,Line_T01_0001,0.058656010281370116,-0.06700017811996672,3,0.07247875847644737,4.17605234474117,-0.002131456645231739,0.005146208922705133,-0.1852109258262838,0.029291674100234665,-0.006280336691863958,-3.9427209212619966e-05,2.5150126370612425,0.6022464350161593
1,1,0.019926396910285502,Line_T01_0001,0.058656010281370116,-0.06700017811996672,4,0.013209694626622944,4.17605234474117,-0.004876344801486152,-0.004033861881262036,-0.02993368903163757,0.0053342301433055034,0.005086568888144234,-2.4076661245415465e-06,2.5150126370612425,0.6022464350161593
1,1,0.019926396910285502,Line_T01_0001,0.058656010281370116,-0.06700017811996672,5,0.3152513052866696,4.17605234474117,0.005612317765000341,-0.008898643370153815,-0.7957834778808522,0.05334394261246394,0.04672067386577288,-1.203349623955109e-05,2.5150126370612425,0.6022464350161593
1,2,0.039852793820571004,Line_T01_0002,0.05823397567974414,-0.06659342795786213,1,0.09291924623811437,4.878091128606036,0.00254464456138363,-0.008696055440059967,-0.2725149849382469,-0.0072394972629394065,0.041511463634588644,5.75299702466085e-06,2.958122482469793,0.6064098444415708
1,2,0.039852793820571004,Line_T01_0002,0.05823397567974414,-0.06659342795786213,2,0.5036194767797376,4.878091128606036,-0.009020265972489415,-0.0009751271102103207,-1.4873107211511902,-0.0392406408138722,-0.05167527763412399,-3.0067057063996878e-05,2.958122482469793,0.6064098444415708
1,2,0.039852793820571004,Line_T01_0002,0.05823397567974414,-0.06659342795786213,3,0.07289229673718058,4.878091128606036,-0.005476392171681213,0.002416819682842539,-0.22113005089303292,0.03439084768143812,-0.0074852134660778925,4.185441957057707e-06,2.958122482469793,0.6064098444415708
1,2,0.039852793820571004,Line_T01_0002,0.05823397567974414,-0.06659342795786213,4,0.013448782239814563,4.878091128606036,-0.0024616977051186944,-0.0034955510752893945,-0.03990013235878498,0.00634965517147933,0.005995019074340681,-3.368306565600395e-05,2.958122482469793,0.6064098444415708
1,2,0.039852793820571004,Line_T01_0002,0.05823397567974414,-0.06659342795786213,5,0.3171201980051529,4.878091128606036,-0.0057756085240104294,-0.008248236762216778,-0.937136687209365,0.0623524826167387,0.05453198812306114,-5.090508122092046e-05,2.958122482469793,0.6064098444415708
1,3,0.05977919073085651,Line_T01_0003,0.05781194107811817,-0.06618667779575754,1,0.09348703720272024,5.240913235598602,0.0020252058799953127,0.0038605582054316774,-0.2964207043010351,-0.007970562784874107,0.04478365848319154,1.8711906761436757e-05,3.2076493008542886,0.6120401458025512
1,3,0.05977919073085651,Line_T01_0003,0.05781194107811817,-0.06618667779575754,2,0.5005286854684987,5.240913235598602,0.0019395464441656393,0.002388779214709304,-1.596771170315345,-0.042613354188095434,-0.05593745900266821,1.2238807914759035e-05,3.2076493008542886,0.6120401458025512
1,3,0.05977919073085651,Line_T01_0003,0.05781194107811817,-0.06618667779575754,3,0.07330525431778191,5.240913235598602,0.007371348096012693,-0.0005049426539482153,-0.23924810305598904,0.037104093911926476,-0.008203693592070583,-2.2536724600125824e-05,3.2076493008542886,0.6120401458025512
1,3,0.05977919073085651,Line_T01_0003,0.05781194107811817,-0.06618667779575754,4,0.013691647676820571,5.240913235598602,-0.00028148459198035946,0.0023265577973876307,-0.05026634843223779,0.006931438578756014,0.00654217525231667,-3.0239988816335967e-05,3.2076493008542886,0.6120401458025512
1,3,0.05977919073085651,Line_T01_0003,0.05781194107811817,-0.06618667779575754,5,0.3189873753341786,5.240913235598602,0.005790553170671795,-0.011436639440781505,-1.0248969769402458,0.06711813628118404,0.05860647439852247,1.7575683659489114e-05,3.2076493008542886,0.6120401458025512
1,4,0.07970558764114201,Line_T01_0004,0.05738990647649219,-0.06577992763365294,1,0.09405451948272003,5.806651261250907,-0.009658414439264702,-0.003803963703921972,-0.33054982496321433,-0.009043986110617954,0.049862793370275146,-2.1096663646387633e-05,3.527053203353972,0.6074160552555986
1,4,0.07970558764114201,Line_T01_0004,0.05738990647649219,-0.06577992763365294,2,0.4974368932917279,5.806651261250907,-0.0006533897570572989,-0.0026760597843809466,-1.753234958600711,-0.04766819886657375,-0.06235064091289203,3.31645010698515e-05,3.527053203353972,0.6074160552555986
1,4,0.07970558764114201,Line_T01_0004,0.05738990647649219,-0.06577992763365294,3,0.07371759038616414,5.806651261250907,-0.008038370465113713,0.001958717161515431,-0.2633840271957433,0.04125677728705625,-0.009208027448792613,2.57271568019804e-05,3.527053203353972,0.6074160552555986
1,4,0.07970558764114201,Line_T01_0004,0.05738990647649219,-0.06577992763365294,4,0.013938338685006681,5.806651261250907,-0.0001409457663403994,-0.006052140809076195,-0.05105799151703112,0.007825803581828387,0.007368833730817996,1.1452183103031577e-05,3.527053203353972,0.6074160552555986
1,4,0.07970558764114201,Line_T01_0004,0.05738990647649219,-0.06577992763365294,5,0.3208526581543812,5.806651261250907,0.00895402403998229,0.00766367886648886,-1.1288123067112656,0.07443445554382325,0.06494147987047075,-7.818337168893884e-07,3.527053203353972,0.6074160552555986
1,5,0.09963198455142751,Line_T01_0005,0.05696787187486622,-0.06537317747154833,1,0.09462164013863654,6.2403875955831944,-0.001319312601819301,0.0008744145933171917,-0.3622846365165034,-0.009879733553586824,0.05380053564344161,2.3127442131013937e-05,3.793903393548301,0.6079595754971278
1,5,0.09963198455142751,Line_T01_0005,0.05696787187486622,-0.06537317747154833,2,0.49434432554566754,6.2403875955831944,0.001108925931223687,-0.003472975734573181,-1.8763694857137672,-0.05175701335570083,-0.06752631057827631,-4.998390889269494e-06,3.793903393548301,0.6079595754971278
