layout,targets,mean_error_mm,rmse_error_mm,max_error_mm,average_transmission_efficiency
corner_150,841,0.5001377751417944,0.792534838149235,6.361866812833647,0.20434991748889822
inset_130,841,0.2609584455860126,0.3783910478391845,1.9375059122000526,0.2869783750235794
inset_110,841,0.14946178404857657,0.20254337791068475,0.8655685478618981,0.37151635142706785
inset_090,841,0.10895902958221118,0.13834914610351928,0.6307586804651678,0.4451086984968507
inset_070,841,0.10729607577562425,0.1321599916549239,0.6874570465399147,0.4972671477616699
