trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.009082493031104222,0.03596467804943079,0.0013614813648042418,0.007372287092746177
2,0.01065919420575103,0.0417936693649323,0.00251887319102595,0.01060903150781023
3,0.005018721274447232,0.015469258561465197,0.0010891951486787304,0.003470675370373044
4,0.007459453010889134,0.024284014025377765,0.002283456438693859,0.010645095020858975
5,0.006402574782565676,0.022678043326687335,0.0010288265213445964,0.007177569459290822
6,0.00465758482550973,0.01581044279517223,0.0017999195715481795,0.010327932572035792
7,0.01598552838533987,0.058351063375702186,0.001974572667487235,0.012065285923638314
8,0.020385567609221545,0.07265191889465165,0.0019261160170817315,0.009019228087543851
9,0.006664035229847464,0.035071248798983524,0.0014615423995699983,0.008323768357612948
10,0.004615450911411024,0.028735401332592815,0.0017605780598441614,0.006344735985052807
