trial,mean_position_error_mm,max_position_error_mm,mean_force_error_N,max_force_error_N
1,0.02088035659628666,0.06217716911356985,0.0017668725809040907,0.007886116856280267
2,0.02864684074804349,0.08668474687664193,0.002400178589866386,0.007931402888246453
3,0.015068682236993858,0.05646360286887123,0.0025715411030998326,0.009614891712541151
4,0.010806120117680592,0.040635950121444143,0.0025873010766380602,0.011367648315911083
5,0.007971750115463761,0.03615365222289715,0.0010695178869712125,0.004392378402990005
6,0.007902315538710045,0.026211369183743463,0.0019610568807647225,0.009508629089690857
7,0.04643377600381986,0.12905837746149354,0.0019305259212110113,0.0068668361048258575
8,0.06084366658177902,0.23939343832210871,0.002290358897691954,0.014350386805950244
9,0.0054926532305642,0.018431840330633425,0.0021859329579432896,0.007619296767618522
10,0.027003579793732232,0.11124204618421721,0.0010786621418813144,0.0051322398749986675
